episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-983.058,124,0,1,500,,,2.129,
2,-882.587,111,0,1,500,,,2.254,
3,-1131.707,142,0,1,500,,,2.067,
4,-1233.5,152,0,1,500,,,2.237,
5,-1144.682,141,0,1,500,,,2.085,
6,-1764.734,219,0,1,500,,,2.132,
7,-1441.564,178,0,1,500,,,2.135,
8,-1313.605,164,0,1,500,,,2.157,
9,-1576.895,195,0,1,500,,,2.074,
10,-950.452,119,0,1,500,,,2.135,
11,-1178.037,145,0,1,500,,,2.179,
12,-2099.838,261,0,1,500,,,2.243,
13,-2495.926,311,0,1,500,,,2.282,
14,-1613.766,200,0,1,500,,,2.125,
15,-1583.111,196,0,1,500,,,2.114,
16,-1074.552,132,0,1,500,,,2.138,
17,-1378.336,170,0,1,500,,,2.112,
18,-1445.809,182,0,1,500,,,2.178,
19,-976.312,119,0,1,500,,,2.102,
20,-1188.379,150,0,1,500,,,2.164,
21,-1287.525,159,0,1,500,,,2.191,
22,-1269.0,156,0,1,500,,,2.133,
23,-1076.2,132,0,1,500,,,2.224,
24,-964.197,118,0,1,500,,,2.136,
25,-1040.21,131,0,1,500,,,2.08,
26,-1732.987,215,0,1,500,,,2.064,
27,-1996.659,248,0,1,500,,,2.185,
28,-1816.869,225,0,1,500,,,2.156,
29,-1117.49,137,0,1,500,,,2.146,
30,-2433.966,303,0,1,500,,,2.067,
31,-2535.732,316,0,1,500,,,2.218,
32,-1661.149,206,0,1,500,,,2.221,
33,-311.242,105,1,0,432,,1.788,1.788,
34,-1054.377,133,0,1,500,,,2.078,
35,-1193.913,147,0,1,500,,,2.11,
36,-890.867,111,0,1,500,,,2.165,
37,-936.65,114,0,1,500,,,2.182,
38,-1069.774,131,0,1,500,,,2.019,
39,-1101.397,138,0,1,500,,,2.096,
40,-1098.325,135,0,1,500,,,2.094,
41,-1179.245,145,0,1,500,,,2.145,
42,-1104.738,137,0,1,500,,,2.175,
43,-1017.43,125,0,1,500,,,2.095,
44,-1138.152,140,0,1,500,,,2.074,
45,-988.798,121,0,1,500,,,2.115,
46,-930.683,118,0,1,500,,,2.234,
47,-1000.108,125,0,1,500,,,2.224,
48,-1034.854,127,0,1,500,,,2.059,
49,-1019.794,125,0,1,500,,,2.09,
50,-1696.298,210,0,1,500,,,2.225,
51,-1031.957,127,0,1,500,,,2.14,
52,-887.207,112,0,1,500,,,2.059,
53,-1075.386,135,0,1,500,,,2.148,
54,-941.689,116,0,1,500,,,2.155,
55,-871.926,106,0,1,500,,,2.172,
56,-1441.839,178,0,1,500,,,2.08,
57,-1074.55,132,0,1,500,,,2.106,
58,-858.478,105,0,1,500,,,2.134,
59,-1257.499,155,0,1,500,,,2.131,
60,-1207.762,152,0,1,500,,,2.185,
61,-1176.375,148,0,1,500,,,2.119,
62,-1392.643,172,0,1,500,,,2.085,
63,-1065.269,131,0,1,500,,,2.116,
64,-1007.648,123,0,1,500,,,2.313,
65,-1032.238,130,0,1,500,,,2.124,
66,-1082.379,133,0,1,500,,,2.133,
67,-1320.72,163,0,1,500,,,2.022,
68,-1401.269,173,0,1,500,,,2.137,
69,-899.659,110,0,1,500,,,2.148,
70,-1017.511,125,0,1,500,,,2.102,
71,-1058.749,130,0,1,500,,,2.059,
72,-1059.205,130,0,1,500,,,2.14,
73,-886.348,108,0,1,500,,,2.115,
74,-932.221,114,0,1,500,,,2.239,
75,-1002.362,123,0,1,500,,,2.175,
76,-1156.601,142,0,1,500,,,2.1,
77,-1034.698,127,0,1,500,,,2.149,
78,-826.953,101,0,1,500,,,2.164,
79,-1141.977,140,0,1,500,,,2.105,
80,-1098.362,135,0,1,500,,,2.048,
81,-1781.225,220,0,1,500,,,2.102,
82,-873.201,110,0,1,500,,,2.062,
83,-1138.716,141,0,1,500,,,3.816,
84,-1333.356,168,0,1,500,,,4.073,
85,-1962.774,243,0,1,500,,,4.091,
86,-1160.634,143,0,1,500,,,3.953,
87,-1174.009,144,0,1,500,,,273.542,
88,-1061.704,130,0,1,500,,,4.042,
89,-1191.311,150,0,1,500,,,4.337,
90,-1156.535,146,0,1,500,,,3.935,
91,-806.732,99,0,1,500,,,4.153,
92,-834.219,102,0,1,500,,,4.278,
93,-1201.73,148,0,1,500,,,4.208,
94,-1153.671,145,0,1,500,,,4.825,
95,-820.974,101,0,1,500,,,4.435,
96,-991.174,123,0,1,500,,,4.136,
97,-935.447,116,0,1,500,,,4.353,
98,-850.751,104,0,1,500,,,4.183,
99,-1327.558,164,0,1,500,,,4.206,
100,-1325.902,163,0,1,500,,,4.124,
101,-764.259,93,0,1,500,,,4.196,
102,-1196.012,147,0,1,500,,,2.358,
103,-994.996,122,0,1,500,,,3.595,
104,-801.445,99,0,1,500,,,2.802,
105,-897.718,111,0,1,500,,,2.526,
106,-1010.595,124,0,1,500,,,2.563,
107,-933.298,117,0,1,500,,,2.28,
108,-1907.163,236,0,1,500,,,2.197,
109,-1021.985,125,0,1,500,,,2.151,
110,-1020.344,125,0,1,500,,,2.093,
111,-1741.26,215,0,1,500,,,2.13,
112,-1778.025,220,0,1,500,,,2.344,
113,-1095.717,138,0,1,500,,,3.553,
114,-952.362,118,0,1,500,,,3.98,
115,-1940.213,240,0,1,500,,,4.328,
116,-1368.363,173,0,1,500,,,4.636,
117,-1652.729,208,0,1,500,,,4.628,
118,-825.296,104,0,1,500,,,4.576,
119,-1225.04,153,0,1,500,,,4.597,
120,-989.496,125,0,1,500,,,4.499,
121,-1017.769,125,0,1,500,,,4.573,
122,-921.216,115,0,1,500,,,4.59,
123,-1550.547,192,0,1,500,,,4.571,
124,-1059.016,132,0,1,500,,,4.621,
125,-937.564,118,0,1,500,,,4.609,
126,-839.388,106,0,1,500,,,4.561,
127,-1128.609,139,0,1,500,,,4.607,
128,-1059.996,132,0,1,500,,,4.566,
129,-1042.841,128,0,1,500,,,4.63,
130,-1114.204,137,0,1,500,,,4.479,
131,-1227.605,151,0,1,500,,,4.136,
132,-925.312,113,0,1,500,,,4.045,
133,-1014.952,124,0,1,500,,,4.447,
134,-1119.761,141,0,1,500,,,4.11,
135,-852.729,107,0,1,500,,,4.412,
136,-955.476,118,0,1,500,,,3.46,
137,-1030.162,126,0,1,500,,,2.904,
138,-926.432,114,0,1,500,,,2.853,
139,-857.126,107,0,1,500,,,2.722,
140,-1017.22,127,0,1,500,,,2.681,
141,-948.681,116,0,1,500,,,3.373,
142,-740.708,90,0,1,500,,,4.559,
143,-1046.411,128,0,1,500,,,4.422,
144,-1112.939,137,0,1,500,,,4.107,
145,-993.63,122,0,1,500,,,4.222,
146,-1137.095,139,0,1,500,,,4.18,
147,-802.673,98,0,1,500,,,4.187,
148,-839.234,104,0,1,500,,,4.22,
149,-1040.316,128,0,1,500,,,4.042,
150,-909.058,111,0,1,500,,,4.285,
151,-1091.995,134,0,1,500,,,4.225,
152,-947.389,116,0,1,500,,,3.981,
153,-1377.875,173,0,1,500,,,4.34,
154,-1147.785,144,0,1,500,,,4.295,
155,-1394.004,172,0,1,500,,,4.258,
156,-1328.771,164,0,1,500,,,4.336,
157,-1170.007,144,0,1,500,,,4.452,
158,-901.237,110,0,1,500,,,4.354,
159,-1042.74,128,0,1,500,,,4.627,
160,-773.409,94,0,1,500,,,4.479,
161,-851.523,104,0,1,500,,,4.64,
162,-1539.487,196,0,1,500,,,4.608,
163,-1838.866,228,0,1,500,,,4.573,
164,-1103.57,138,0,1,500,,,4.534,
165,-1048.813,129,0,1,500,,,4.275,
166,-1122.08,138,0,1,500,,,4.409,
167,-862.308,105,0,1,500,,,4.355,
168,-864.235,110,0,1,500,,,4.374,
169,-1282.936,158,0,1,500,,,3.549,
170,-1021.476,127,0,1,500,,,2.357,
171,-1112.773,137,0,1,500,,,2.315,
172,-1076.94,135,0,1,500,,,3.843,
173,-1042.627,129,0,1,500,,,4.192,
174,-1028.222,126,0,1,500,,,4.641,
175,-948.674,116,0,1,500,,,4.37,
176,-980.661,120,0,1,500,,,4.606,
177,-967.809,118,0,1,500,,,4.512,
178,-896.959,110,0,1,500,,,4.498,
179,-903.95,111,0,1,500,,,4.505,
180,-1019.419,125,0,1,500,,,4.483,
181,-761.884,95,0,1,500,,,4.556,
182,-1233.462,152,0,1,500,,,4.492,
183,-1010.614,124,0,1,500,,,4.553,
184,-1052.518,129,0,1,500,,,4.493,
185,-964.913,118,0,1,500,,,4.485,
186,-776.762,95,0,1,500,,,4.493,
187,-1250.917,154,0,1,500,,,4.535,
188,-916.795,112,0,1,500,,,4.583,
189,-1100.062,138,0,1,500,,,4.533,
