episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1096.862,137,0,1,500,,,4.574,
2,-1419.626,175,0,1,500,,,2.755,
3,-1171.51,144,0,1,500,,,2.574,
4,-1215.72,150,0,1,500,,,2.579,
5,-422.323,119,1,0,435,,2.438,2.438,
6,-2085.83,259,0,1,500,,,2.479,
7,-1469.513,182,0,1,500,,,2.534,
8,-1189.427,150,0,1,500,,,2.466,
9,-1665.093,210,0,1,500,,,2.534,
10,-1766.574,219,0,1,500,,,2.489,
11,-1748.458,217,0,1,500,,,2.525,
12,-300.589,104,1,0,380,,1.9,1.9,
13,-2569.066,320,0,1,500,,,2.66,
14,-1799.866,223,0,1,500,,,3.236,
15,-3047.832,380,0,1,500,,,4.908,
16,-2415.09,300,0,1,500,,,5.295,
17,-1684.448,212,0,1,500,,,5.479,
18,-613.147,143,1,0,433,,4.659,4.659,
19,-338.849,109,1,0,350,,3.708,3.708,
20,-2618.435,326,0,1,500,,,5.348,
21,-1283.014,158,0,1,500,,,5.374,
22,-1137.407,140,0,1,500,,,5.179,
23,-1979.035,246,0,1,500,,,4.596,
24,-1298.088,160,0,1,500,,,5.055,
25,-971.076,123,0,1,500,,,5.296,
26,-944.706,118,0,1,500,,,5.332,
27,-862.228,107,0,1,500,,,5.232,
28,-999.062,123,0,1,500,,,4.682,
29,-1144.635,142,0,1,500,,,5.383,
30,-930.342,114,0,1,500,,,5.352,
31,-1092.198,134,0,1,500,,,5.312,
32,-917.373,115,0,1,500,,,5.337,
33,-1166.92,145,0,1,500,,,5.374,
34,-975.083,122,0,1,500,,,5.198,
35,-1035.454,127,0,1,500,,,5.13,
36,-557.337,136,1,0,431,,3.272,3.272,
37,-1057.479,130,0,1,500,,,2.731,
38,-1128.485,139,0,1,500,,,4.407,
39,-1050.0,134,0,1,500,,,2.62,
40,-1076.126,132,0,1,500,,,4.179,
41,-988.743,125,0,1,500,,,5.152,
42,-1298.197,160,0,1,500,,,5.0,
43,-1303.738,165,0,1,500,,,5.401,
44,-1159.182,146,0,1,500,,,4.925,
45,-887.202,112,0,1,500,,,4.523,
46,-1248.309,155,0,1,500,,,4.972,
47,-920.763,116,0,1,500,,,4.781,
48,-890.938,109,0,1,500,,,4.76,
49,-1043.765,129,0,1,500,,,4.463,
50,-1186.97,146,0,1,500,,,4.974,
51,-878.307,107,0,1,500,,,3.928,
52,-789.35,98,0,1,500,,,5.24,
53,-1195.467,147,0,1,500,,,5.372,
54,-962.845,119,0,1,500,,,5.323,
55,-1310.874,163,0,1,500,,,5.188,
56,-1034.037,127,0,1,500,,,5.336,
57,-1027.339,129,0,1,500,,,4.44,
58,-910.268,114,0,1,500,,,4.164,
59,-1040.794,128,0,1,500,,,3.412,
60,-1021.684,125,0,1,500,,,3.96,
61,-1418.316,175,0,1,500,,,4.911,
62,-2815.45,351,0,1,500,,,5.38,
63,-1577.099,195,0,1,500,,,5.256,
64,-859.887,105,0,1,500,,,5.293,
65,-1203.76,148,0,1,500,,,5.29,
66,-957.201,117,0,1,500,,,3.682,
67,-820.765,100,0,1,500,,,4.064,
68,-1074.072,134,0,1,500,,,3.173,
69,-361.359,111,1,0,490,,3.093,3.093,
70,-1966.459,244,0,1,500,,,4.812,
71,-1157.161,142,0,1,500,,,5.341,
72,-953.833,118,0,1,500,,,5.26,
73,-1102.63,135,0,1,500,,,5.357,
74,-1078.768,132,0,1,500,,,5.323,
75,-439.039,121,1,0,448,,4.779,4.783,
76,-1391.119,172,0,1,500,,,5.269,
77,-1105.308,136,0,1,500,,,5.117,
78,-969.751,119,0,1,500,,,5.095,
79,-1076.406,133,0,1,500,,,4.895,
80,-924.538,113,0,1,500,,,5.055,
81,-960.526,120,0,1,500,,,5.249,
82,-1100.571,136,0,1,500,,,5.195,
83,-1049.633,128,0,1,500,,,3.445,
84,-913.642,112,0,1,500,,,3.121,
85,-1273.359,157,0,1,500,,,5.006,
86,-963.249,118,0,1,500,,,5.05,
87,-913.752,112,0,1,500,,,4.874,
88,-1098.387,135,0,1,500,,,4.795,
89,-1262.99,159,0,1,500,,,4.79,
90,-1044.958,128,0,1,500,,,5.176,
91,-968.699,122,0,1,500,,,5.142,
92,-988.191,123,0,1,500,,,5.165,
93,-976.229,119,0,1,500,,,4.965,
94,-1049.135,129,0,1,500,,,5.28,
95,-820.057,100,0,1,500,,,5.129,
96,-1265.212,156,0,1,500,,,5.233,
97,-1297.221,160,0,1,500,,,5.411,
