episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1153.191,143,0,1,500,,,2.924,
2,-1205.995,150,0,1,500,,,2.917,
3,-947.217,116,0,1,500,,,2.647,
4,-1200.374,148,0,1,500,,,2.719,
5,-1841.544,228,0,1,500,,,2.761,
6,-1034.119,131,0,1,500,,,2.574,
7,-1607.19,199,0,1,500,,,2.562,
8,-1751.935,217,0,1,500,,,2.556,
9,-1569.055,194,0,1,500,,,2.543,
10,-1820.359,226,0,1,500,,,2.557,
11,-1823.257,226,0,1,500,,,2.582,
12,-1414.644,175,0,1,500,,,2.613,
13,-1207.945,149,0,1,500,,,2.601,
14,-1076.959,135,0,1,500,,,2.616,
15,-1132.871,139,0,1,500,,,2.656,
16,-1332.413,165,0,1,500,,,2.644,
17,-1074.949,132,0,1,500,,,3.66,
18,-1138.766,140,0,1,500,,,3.326,
19,-1005.789,123,0,1,500,,,2.586,
20,-1231.149,152,0,1,500,,,2.672,
21,-1011.984,124,0,1,500,,,2.669,
22,-1345.204,166,0,1,500,,,2.665,
23,-1125.846,138,0,1,500,,,2.668,
24,-1219.278,150,0,1,500,,,2.709,
25,-278.093,101,1,0,411,,2.217,2.218,
26,-1260.443,157,0,1,500,,,2.687,
27,-1327.448,164,0,1,500,,,2.683,
28,-1713.459,213,0,1,500,,,2.686,
29,-881.779,112,0,1,500,,,2.673,
30,-1952.49,242,0,1,500,,,2.615,
31,-1505.05,186,0,1,500,,,2.81,
32,-2066.577,257,0,1,500,,,2.911,
33,-1131.359,139,0,1,500,,,2.786,
34,-1041.008,128,0,1,500,,,2.706,
35,-1371.457,169,0,1,500,,,2.703,
36,-972.61,121,0,1,500,,,2.688,
37,-1532.521,189,0,1,500,,,2.685,
38,-1204.469,150,0,1,500,,,2.597,
39,-1212.51,150,0,1,500,,,2.719,
40,-787.413,99,0,1,500,,,2.653,
41,-1131.803,139,0,1,500,,,2.636,
42,-1168.212,145,0,1,500,,,2.623,
43,-1153.193,145,0,1,500,,,2.688,
44,-1473.528,182,0,1,500,,,2.709,
45,-1222.678,153,0,1,500,,,3.037,
46,-1249.024,157,0,1,500,,,2.673,
47,-845.725,103,0,1,500,,,2.709,
48,-1103.289,135,0,1,500,,,2.661,
49,-1583.636,196,0,1,500,,,2.648,
50,-1732.666,215,0,1,500,,,2.708,
51,-1261.59,155,0,1,500,,,2.725,
52,-1046.779,130,0,1,500,,,2.624,
53,-1078.878,137,0,1,500,,,2.641,
54,-1057.011,130,0,1,500,,,2.644,
55,-951.344,117,0,1,500,,,2.652,
56,-1193.813,147,0,1,500,,,2.629,
57,-1135.286,139,0,1,500,,,2.62,
58,-1120.493,137,0,1,500,,,2.707,
59,-1084.324,136,0,1,500,,,2.666,
60,-1170.865,148,0,1,500,,,2.648,
