trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-01 12:11:51,PPO,U-maze,133,3.631,0,1,
2,2026-04-01 12:11:53,PPO,U-maze,118,2.408,1,0,
3,2026-04-01 12:11:57,PPO,U-maze,146,3.473,0,1,
4,2026-04-01 12:12:01,PPO,U-maze,283,4.04,0,1,
5,2026-04-01 12:12:06,PPO,U-maze,209,5.199,0,1,
6,2026-04-01 12:12:10,PPO,U-maze,205,3.751,0,1,
7,2026-04-01 12:12:14,PPO,U-maze,124,3.805,0,1,
8,2026-04-01 12:12:18,PPO,U-maze,156,3.911,0,1,
9,2026-04-01 12:12:22,PPO,U-maze,153,3.922,0,1,
10,2026-04-01 12:12:26,PPO,U-maze,221,3.987,0,1,
11,2026-04-01 12:12:29,PPO,U-maze,176,3.362,0,1,
12,2026-04-01 12:12:33,PPO,U-maze,110,3.608,1,0,
13,2026-04-01 12:12:37,PPO,U-maze,226,4.365,0,1,
14,2026-04-01 12:12:41,PPO,U-maze,150,4.038,0,1,
15,2026-04-01 12:12:45,PPO,U-maze,120,3.831,0,1,
16,2026-04-01 12:12:49,PPO,U-maze,197,3.768,0,1,
17,2026-04-01 12:12:53,PPO,U-maze,167,4.259,0,1,
18,2026-04-01 12:12:57,PPO,U-maze,113,4.457,0,1,
19,2026-04-01 12:13:02,PPO,U-maze,129,4.144,0,1,
20,2026-04-01 12:13:06,PPO,U-maze,117,4.265,0,1,
21,2026-04-01 12:13:10,PPO,U-maze,143,3.779,0,1,
22,2026-04-01 12:13:14,PPO,U-maze,171,4.185,0,1,
23,2026-04-01 12:13:18,PPO,U-maze,119,4.134,0,1,
24,2026-04-01 12:13:22,PPO,U-maze,136,3.84,0,1,
25,2026-04-01 12:13:25,PPO,U-maze,131,3.509,0,1,
26,2026-04-01 12:13:29,PPO,U-maze,132,3.609,0,1,
27,2026-04-01 12:13:33,PPO,U-maze,120,3.592,0,1,
28,2026-04-01 12:13:36,PPO,U-maze,99,3.317,0,1,
29,2026-04-01 12:13:40,PPO,U-maze,124,4.165,0,1,
30,2026-04-01 12:13:45,PPO,U-maze,192,4.56,0,1,
31,2026-04-01 12:13:49,PPO,U-maze,157,4.523,0,1,
32,2026-04-01 12:13:54,PPO,U-maze,211,4.398,0,1,
33,2026-04-01 12:13:58,PPO,U-maze,151,4.504,0,1,
34,2026-04-01 12:14:02,PPO,U-maze,169,4.159,0,1,
35,2026-04-01 12:14:06,PPO,U-maze,100,4.236,0,1,
36,2026-04-01 12:14:10,PPO,U-maze,150,3.78,0,1,
37,2026-04-01 12:14:14,PPO,U-maze,115,3.34,0,1,
38,2026-04-01 12:14:17,PPO,U-maze,169,3.582,0,1,
39,2026-04-01 12:14:21,PPO,U-maze,157,3.705,0,1,
40,2026-04-01 12:14:25,PPO,U-maze,145,3.711,0,1,
41,2026-04-01 12:14:28,PPO,U-maze,139,3.469,0,1,
42,2026-04-01 12:14:32,PPO,U-maze,127,3.809,0,1,
43,2026-04-01 12:14:36,PPO,U-maze,119,4.109,0,1,
44,2026-04-01 12:14:40,PPO,U-maze,135,3.857,0,1,
45,2026-04-01 12:14:44,PPO,U-maze,148,3.699,0,1,
46,2026-04-01 12:14:48,PPO,U-maze,240,4.12,0,1,
47,2026-04-01 12:14:52,PPO,U-maze,158,3.832,0,1,
48,2026-04-01 12:14:55,PPO,U-maze,126,3.585,0,1,
49,2026-04-01 12:14:58,PPO,U-maze,177,3.287,0,1,
50,2026-04-01 12:15:02,PPO,U-maze,156,3.108,0,1,
51,2026-04-01 12:15:05,PPO,U-maze,158,3.787,0,1,
52,2026-04-01 12:15:09,PPO,U-maze,156,4.013,0,1,
53,2026-04-01 12:15:14,PPO,U-maze,182,4.549,0,1,
54,2026-04-01 12:15:18,PPO,U-maze,145,4.42,0,1,
55,2026-04-01 12:15:23,PPO,U-maze,110,4.598,0,1,
56,2026-04-01 12:15:27,PPO,U-maze,120,3.635,0,1,
57,2026-04-01 12:15:30,PPO,U-maze,159,3.49,0,1,
58,2026-04-01 12:15:33,PPO,U-maze,176,3.281,0,1,
59,2026-04-01 12:15:37,PPO,U-maze,165,3.664,0,1,
60,2026-04-01 12:15:41,PPO,U-maze,179,3.772,0,1,
61,2026-04-01 12:15:45,PPO,U-maze,132,4.456,0,1,
62,2026-04-01 12:15:50,PPO,U-maze,131,4.561,0,1,
63,2026-04-01 12:15:54,PPO,U-maze,129,4.543,0,1,
64,2026-04-01 12:15:59,PPO,U-maze,106,4.471,0,1,
65,2026-04-01 12:16:03,PPO,U-maze,147,4.406,0,1,
66,2026-04-01 12:16:07,PPO,U-maze,143,3.638,0,1,
67,2026-04-01 12:16:11,PPO,U-maze,143,3.984,0,1,
68,2026-04-01 12:16:14,PPO,U-maze,121,3.201,0,1,
69,2026-04-01 12:16:18,PPO,U-maze,125,3.763,0,1,
70,2026-04-01 12:16:22,PPO,U-maze,120,3.981,0,1,
71,2026-04-01 12:16:26,PPO,U-maze,146,4.138,0,1,
72,2026-04-01 12:16:31,PPO,U-maze,152,4.539,0,1,
73,2026-04-01 12:16:35,PPO,U-maze,157,4.435,0,1,
74,2026-04-01 12:16:40,PPO,U-maze,276,4.494,0,1,
75,2026-04-01 12:16:42,PPO,U-maze,118,2.906,1,0,
76,2026-04-01 12:16:47,PPO,U-maze,161,4.587,0,1,
77,2026-04-01 12:16:52,PPO,U-maze,138,4.563,0,1,
78,2026-04-01 12:16:56,PPO,U-maze,112,4.535,0,1,
79,2026-04-01 12:17:01,PPO,U-maze,109,4.477,0,1,
80,2026-04-01 12:17:05,PPO,U-maze,135,4.549,0,1,
81,2026-04-01 12:17:10,PPO,U-maze,120,4.494,0,1,
82,2026-04-01 12:17:14,PPO,U-maze,153,4.468,0,1,
83,2026-04-01 12:17:19,PPO,U-maze,121,4.381,0,1,
84,2026-04-01 12:17:23,PPO,U-maze,128,4.623,0,1,
85,2026-04-01 12:17:28,PPO,U-maze,110,4.458,0,1,
86,2026-04-01 12:17:32,PPO,U-maze,126,4.465,0,1,
87,2026-04-01 12:17:37,PPO,U-maze,111,4.345,0,1,
88,2026-04-01 12:17:40,PPO,U-maze,113,3.895,0,1,
89,2026-04-01 12:17:44,PPO,U-maze,122,3.907,0,1,
90,2026-04-01 12:17:49,PPO,U-maze,108,4.261,0,1,
91,2026-04-01 12:17:53,PPO,U-maze,135,4.538,0,1,
92,2026-04-01 12:17:57,PPO,U-maze,175,4.185,0,1,
93,2026-04-01 12:18:02,PPO,U-maze,148,4.148,0,1,
94,2026-04-01 12:18:05,PPO,U-maze,129,3.521,0,1,
95,2026-04-01 12:18:09,PPO,U-maze,132,3.743,0,1,
96,2026-04-01 12:18:13,PPO,U-maze,127,4.439,0,1,
97,2026-04-01 12:18:17,PPO,U-maze,142,3.901,0,1,
98,2026-04-01 12:18:21,PPO,U-maze,143,3.857,0,1,
99,2026-04-01 12:18:25,PPO,U-maze,122,3.743,0,1,
100,2026-04-01 12:18:28,PPO,U-maze,144,3.339,0,1,
101,2026-04-01 12:18:32,PPO,U-maze,116,3.84,0,1,
102,2026-04-01 12:18:35,PPO,U-maze,127,3.313,0,1,
103,2026-04-01 12:18:39,PPO,U-maze,156,3.774,0,1,
104,2026-04-01 12:18:43,PPO,U-maze,149,3.894,0,1,
105,2026-04-01 12:18:47,PPO,U-maze,137,4.222,0,1,
106,2026-04-01 12:18:52,PPO,U-maze,113,4.313,0,1,
107,2026-04-01 12:18:56,PPO,U-maze,163,4.324,0,1,
108,2026-04-01 12:18:59,PPO,U-maze,111,3.469,0,1,
109,2026-04-01 12:19:03,PPO,U-maze,128,4.127,0,1,
110,2026-04-01 12:19:08,PPO,U-maze,149,4.309,0,1,
111,2026-04-01 12:19:11,PPO,U-maze,136,3.539,0,1,
112,2026-04-01 12:19:15,PPO,U-maze,165,3.923,0,1,
113,2026-04-01 12:19:20,PPO,U-maze,104,4.474,0,1,
114,2026-04-01 12:19:24,PPO,U-maze,117,4.51,0,1,
115,2026-04-01 12:19:29,PPO,U-maze,111,4.355,0,1,
116,2026-04-01 12:19:33,PPO,U-maze,112,4.547,0,1,
117,2026-04-01 12:19:38,PPO,U-maze,127,4.569,0,1,
118,2026-04-01 12:19:42,PPO,U-maze,106,4.555,0,1,
119,2026-04-01 12:19:47,PPO,U-maze,120,4.547,0,1,
120,2026-04-01 12:19:51,PPO,U-maze,107,4.471,0,1,
121,2026-04-01 12:19:56,PPO,U-maze,119,4.322,0,1,
122,2026-04-01 12:20:00,PPO,U-maze,124,3.906,0,1,
123,2026-04-01 12:20:04,PPO,U-maze,137,4.283,0,1,
124,2026-04-01 12:20:08,PPO,U-maze,113,4.554,0,1,
125,2026-04-01 12:20:13,PPO,U-maze,129,4.038,0,1,
126,2026-04-01 12:20:17,PPO,U-maze,120,4.358,0,1,
127,2026-04-01 12:20:21,PPO,U-maze,125,4.2,0,1,
128,2026-04-01 12:20:26,PPO,U-maze,145,4.458,0,1,
129,2026-04-01 12:20:30,PPO,U-maze,114,4.527,0,1,
130,2026-04-01 12:20:35,PPO,U-maze,132,4.481,0,1,
131,2026-04-01 12:20:39,PPO,U-maze,107,4.17,0,1,
132,2026-04-01 12:20:43,PPO,U-maze,170,4.006,0,1,
133,2026-04-01 12:20:47,PPO,U-maze,121,4.482,0,1,
134,2026-04-01 12:20:51,PPO,U-maze,112,3.744,0,1,
135,2026-04-01 12:20:54,PPO,U-maze,116,2.986,0,1,
136,2026-04-01 12:20:58,PPO,U-maze,135,3.904,0,1,
137,2026-04-01 12:21:02,PPO,U-maze,102,3.736,0,1,
138,2026-04-01 12:21:05,PPO,U-maze,107,3.703,0,1,
139,2026-04-01 12:21:09,PPO,U-maze,124,4.015,0,1,
140,2026-04-01 12:21:14,PPO,U-maze,208,4.442,0,1,
141,2026-04-01 12:21:18,PPO,U-maze,188,4.418,0,1,
142,2026-04-01 12:21:22,PPO,U-maze,155,4.102,0,1,
143,2026-04-01 12:21:27,PPO,U-maze,133,4.205,0,1,
144,2026-04-01 12:21:31,PPO,U-maze,114,4.324,0,1,
145,2026-04-01 12:21:35,PPO,U-maze,109,4.442,0,1,
146,2026-04-01 12:21:40,PPO,U-maze,90,4.433,0,1,
147,2026-04-01 12:21:44,PPO,U-maze,119,4.249,0,1,
148,2026-04-01 12:21:49,PPO,U-maze,133,4.404,0,1,
149,2026-04-01 12:21:53,PPO,U-maze,120,4.357,0,1,
150,2026-04-01 12:21:57,PPO,U-maze,103,4.367,0,1,
151,2026-04-01 12:22:02,PPO,U-maze,157,4.55,0,1,
152,2026-04-01 12:22:07,PPO,U-maze,127,4.943,0,1,
153,2026-04-01 12:22:11,PPO,U-maze,123,4.242,0,1,
154,2026-04-01 12:22:15,PPO,U-maze,134,4.347,0,1,
155,2026-04-01 12:22:20,PPO,U-maze,158,4.315,0,1,
156,2026-04-01 12:22:24,PPO,U-maze,99,4.324,0,1,
157,2026-04-01 12:22:28,PPO,U-maze,126,4.31,0,1,
158,2026-04-01 12:22:33,PPO,U-maze,188,4.165,0,1,
159,2026-04-01 12:22:37,PPO,U-maze,174,4.215,0,1,
160,2026-04-01 12:22:41,PPO,U-maze,188,4.402,0,1,
161,2026-04-01 12:22:46,PPO,U-maze,111,4.363,0,1,
162,2026-04-01 12:22:50,PPO,U-maze,133,4.26,0,1,
163,2026-04-01 12:22:54,PPO,U-maze,161,3.925,0,1,
164,2026-04-01 12:22:58,PPO,U-maze,124,4.111,0,1,
165,2026-04-01 12:23:02,PPO,U-maze,120,4.471,0,1,
166,2026-04-01 12:23:06,PPO,U-maze,115,4.083,0,1,
167,2026-04-01 12:23:11,PPO,U-maze,149,4.259,0,1,
168,2026-04-01 12:23:14,PPO,U-maze,113,3.714,0,1,
169,2026-04-01 12:23:18,PPO,U-maze,177,3.544,0,1,
170,2026-04-01 12:23:22,PPO,U-maze,147,4.222,0,1,
171,2026-04-01 12:23:26,PPO,U-maze,124,4.006,0,1,
172,2026-04-01 12:23:30,PPO,U-maze,134,3.914,0,1,
173,2026-04-01 12:23:35,PPO,U-maze,125,4.412,0,1,
174,2026-04-01 12:23:39,PPO,U-maze,118,4.313,0,1,
175,2026-04-01 12:23:43,PPO,U-maze,144,4.524,0,1,
176,2026-04-01 12:23:48,PPO,U-maze,112,4.531,0,1,
177,2026-04-01 12:23:52,PPO,U-maze,139,4.497,0,1,
178,2026-04-01 12:23:57,PPO,U-maze,110,4.474,0,1,
179,2026-04-01 12:24:01,PPO,U-maze,120,4.194,0,1,
180,2026-04-01 12:24:05,PPO,U-maze,114,4.099,0,1,
181,2026-04-01 12:24:09,PPO,U-maze,111,4.08,0,1,
182,2026-04-01 12:24:13,PPO,U-maze,119,3.566,0,1,
183,2026-04-01 12:24:17,PPO,U-maze,125,4.301,0,1,
184,2026-04-01 12:24:22,PPO,U-maze,114,4.386,0,1,
185,2026-04-01 12:24:26,PPO,U-maze,111,4.441,0,1,
186,2026-04-01 12:24:31,PPO,U-maze,119,4.561,0,1,
187,2026-04-01 12:24:35,PPO,U-maze,141,4.214,0,1,
188,2026-04-01 12:24:39,PPO,U-maze,93,4.367,0,1,
189,2026-04-01 12:24:44,PPO,U-maze,129,4.494,0,1,
