episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-991.072,122,0,1,500,,,2.439,
2,-914.009,112,0,1,500,,,4.228,
3,-1168.388,144,0,1,500,,,4.605,
4,-978.113,120,0,1,500,,,4.373,
5,-1323.066,163,0,1,500,,,4.335,
6,-911.869,116,0,1,500,,,4.115,
7,-1448.21,179,0,1,500,,,4.306,
8,-1150.711,142,0,1,500,,,4.146,
9,-1088.917,134,0,1,500,,,4.49,
10,-1670.463,207,0,1,500,,,4.662,
11,-1123.413,138,0,1,500,,,4.482,
12,-1791.487,222,0,1,500,,,4.525,
13,-1605.94,198,0,1,500,,,4.606,
14,-972.553,119,0,1,500,,,4.472,
15,-1066.217,131,0,1,500,,,4.501,
16,-1111.588,140,0,1,500,,,4.52,
17,-491.648,128,1,0,385,,3.443,3.443,
18,-1555.417,196,0,1,500,,,4.557,
19,-994.696,126,0,1,500,,,4.559,
20,-945.976,116,0,1,500,,,4.447,
21,-1018.745,125,0,1,500,,,4.548,
22,-1510.057,186,0,1,500,,,4.545,
23,-702.562,85,0,1,500,,,4.547,
24,-815.703,99,0,1,500,,,4.595,
25,-797.695,97,0,1,500,,,4.581,
26,-1053.119,129,0,1,500,,,4.524,
27,-894.89,109,0,1,500,,,4.586,
28,-1478.218,183,0,1,500,,,4.525,
29,-845.059,106,0,1,500,,,4.556,
30,-1282.841,158,0,1,500,,,4.531,
31,-1088.766,134,0,1,500,,,4.634,
32,-1160.283,143,0,1,500,,,4.528,
33,-1538.426,190,0,1,500,,,4.652,
34,-1097.773,139,0,1,500,,,4.545,
35,-1177.791,145,0,1,500,,,4.632,
36,-1565.859,194,0,1,500,,,4.533,
37,-2006.864,249,0,1,500,,,4.568,
38,-1479.896,183,0,1,500,,,4.63,
39,-907.889,112,0,1,500,,,4.44,
40,-1047.471,129,0,1,500,,,4.557,
41,-1106.516,141,0,1,500,,,4.929,
42,-1091.463,138,0,1,500,,,4.098,
43,-1930.98,239,0,1,500,,,4.635,
44,-1766.563,222,0,1,500,,,4.56,
45,-1656.168,205,0,1,500,,,4.578,
46,-938.11,115,0,1,500,,,4.519,
47,-1170.084,144,0,1,500,,,4.544,
48,-1082.47,133,0,1,500,,,4.516,
49,-1273.425,157,0,1,500,,,4.656,
50,-1363.034,168,0,1,500,,,4.439,
51,-883.616,108,0,1,500,,,4.597,
52,-1191.222,146,0,1,500,,,4.646,
53,-1731.445,214,0,1,500,,,4.137,
54,-1242.807,153,0,1,500,,,4.385,
55,-1367.317,169,0,1,500,,,3.862,
56,-1338.31,165,0,1,500,,,4.456,
57,-1756.711,218,0,1,500,,,4.589,
58,-2010.268,253,0,1,500,,,4.492,
59,-1535.75,259,1,0,451,,3.97,3.97,
60,-2901.735,362,0,1,500,,,4.571,
61,-2209.841,275,0,1,500,,,4.56,
62,-1525.437,192,0,1,500,,,4.503,
63,-904.627,111,0,1,500,,,4.508,
64,-1267.702,156,0,1,500,,,4.476,
65,-815.771,99,0,1,500,,,4.585,
66,-936.249,116,0,1,500,,,4.566,
67,-1034.055,128,0,1,500,,,4.458,
68,-1173.056,144,0,1,500,,,4.432,
69,-866.288,106,0,1,500,,,4.586,
70,-1162.348,144,0,1,500,,,4.477,
71,-870.516,110,0,1,500,,,4.498,
72,-1138.603,140,0,1,500,,,4.492,
73,-1297.642,160,0,1,500,,,4.589,
74,-1094.535,137,0,1,500,,,4.43,
75,-939.429,115,0,1,500,,,4.477,
76,-1065.161,131,0,1,500,,,4.5,
77,-1033.367,127,0,1,500,,,4.554,
78,-1386.383,171,0,1,500,,,4.515,
79,-911.817,112,0,1,500,,,4.555,
80,-1150.732,141,0,1,500,,,4.591,
81,-997.88,122,0,1,500,,,4.09,
82,-1046.669,128,0,1,500,,,3.842,
83,-824.093,103,0,1,500,,,4.455,
84,-1145.317,141,0,1,500,,,4.587,
85,-981.288,120,0,1,500,,,4.542,
86,-1136.015,141,0,1,500,,,4.381,
87,-893.375,111,0,1,500,,,4.548,
88,-985.371,124,0,1,500,,,4.6,
89,-955.842,117,0,1,500,,,4.563,
90,-929.949,114,0,1,500,,,4.597,
91,-1160.483,143,0,1,500,,,4.644,
92,-890.086,109,0,1,500,,,4.441,
93,-993.738,122,0,1,500,,,4.401,
94,-946.769,117,0,1,500,,,4.414,
95,-1167.077,143,0,1,500,,,4.478,
96,-1483.008,186,0,1,500,,,4.438,
97,-861.886,106,0,1,500,,,4.294,
98,-907.566,111,0,1,500,,,4.514,
99,-909.579,112,0,1,500,,,4.271,
100,-932.004,114,0,1,500,,,4.416,
101,-951.41,116,0,1,500,,,5.236,
102,-1179.179,145,0,1,500,,,4.6,
103,-980.728,120,0,1,500,,,4.472,
104,-927.926,118,0,1,500,,,4.31,
105,-1395.357,172,0,1,500,,,4.513,
106,-1042.303,128,0,1,500,,,4.429,
107,-1094.195,137,0,1,500,,,4.456,
108,-640.591,146,1,0,497,,4.469,4.469,
109,-1083.734,133,0,1,500,,,4.45,
110,-1089.507,134,0,1,500,,,4.497,
111,-1060.104,130,0,1,500,,,4.469,
112,-1135.808,140,0,1,500,,,4.423,
113,-898.445,110,0,1,500,,,4.457,
114,-1019.297,125,0,1,500,,,4.517,
115,-989.932,122,0,1,500,,,4.395,
116,-1068.209,131,0,1,500,,,4.464,
117,-1227.992,151,0,1,500,,,4.307,
118,-928.788,116,0,1,500,,,4.382,
119,-1039.626,127,0,1,500,,,4.566,
120,-927.156,117,0,1,500,,,4.5,
121,-1084.211,135,0,1,500,,,4.021,
122,-828.807,105,0,1,500,,,4.562,
123,-1053.016,133,0,1,500,,,4.594,
124,-898.902,110,0,1,500,,,4.531,
125,-859.428,108,0,1,500,,,4.545,
126,-974.825,119,0,1,500,,,4.403,
127,-1037.95,128,0,1,500,,,4.544,
128,-1097.411,135,0,1,500,,,4.499,
129,-866.409,106,0,1,500,,,4.28,
130,-1141.219,140,0,1,500,,,4.031,
131,-1095.291,134,0,1,500,,,4.243,
132,-1147.331,141,0,1,500,,,4.389,
133,-1020.441,125,0,1,500,,,4.365,
134,-980.847,120,0,1,500,,,4.333,
135,-1118.817,137,0,1,500,,,4.417,
136,-950.628,119,0,1,500,,,4.431,
137,-1093.091,134,0,1,500,,,4.435,
138,-1070.796,133,0,1,500,,,4.437,
139,-1001.433,126,0,1,500,,,4.398,
140,-1115.97,138,0,1,500,,,4.487,
141,-977.666,123,0,1,500,,,4.43,
142,-962.621,120,0,1,500,,,4.639,
143,-862.315,109,0,1,500,,,4.989,
144,-962.396,121,0,1,500,,,4.028,
145,-1018.625,128,0,1,500,,,4.534,
146,-993.801,122,0,1,500,,,4.543,
