trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-31 17:18:46,PPO,U-maze,133,4.173,0,1,
2,2026-03-31 17:18:50,PPO,U-maze,199,4.355,0,1,
3,2026-03-31 17:18:55,PPO,U-maze,146,4.207,0,1,
4,2026-03-31 17:18:59,PPO,U-maze,169,4.21,0,1,
5,2026-03-31 17:19:03,PPO,U-maze,90,4.232,0,1,
6,2026-03-31 17:19:07,PPO,U-maze,144,4.227,0,1,
7,2026-03-31 17:19:12,PPO,U-maze,136,4.266,0,1,
8,2026-03-31 17:19:16,PPO,U-maze,148,4.275,0,1,
9,2026-03-31 17:19:20,PPO,U-maze,101,4.165,0,1,
10,2026-03-31 17:19:24,PPO,U-maze,156,4.324,0,1,
11,2026-03-31 17:19:29,PPO,U-maze,113,4.229,0,1,
12,2026-03-31 17:19:33,PPO,U-maze,123,4.209,0,1,
13,2026-03-31 17:19:37,PPO,U-maze,117,4.245,0,1,
14,2026-03-31 17:19:41,PPO,U-maze,117,4.11,0,1,
15,2026-03-31 17:19:46,PPO,U-maze,161,4.24,0,1,
16,2026-03-31 17:19:50,PPO,U-maze,115,4.167,0,1,
17,2026-03-31 17:19:54,PPO,U-maze,191,4.228,0,1,
18,2026-03-31 17:19:58,PPO,U-maze,160,4.281,0,1,
19,2026-03-31 17:20:02,PPO,U-maze,156,4.143,0,1,
20,2026-03-31 17:20:07,PPO,U-maze,107,4.267,0,1,
21,2026-03-31 17:20:11,PPO,U-maze,119,3.993,1,0,
22,2026-03-31 17:20:15,PPO,U-maze,125,4.218,0,1,
23,2026-03-31 17:20:19,PPO,U-maze,117,4.266,0,1,
24,2026-03-31 17:20:23,PPO,U-maze,117,4.232,0,1,
25,2026-03-31 17:20:28,PPO,U-maze,145,4.22,0,1,
26,2026-03-31 17:20:32,PPO,U-maze,139,4.229,0,1,
27,2026-03-31 17:20:36,PPO,U-maze,120,4.249,0,1,
28,2026-03-31 17:20:40,PPO,U-maze,122,4.276,0,1,
29,2026-03-31 17:20:45,PPO,U-maze,123,4.257,0,1,
30,2026-03-31 17:20:49,PPO,U-maze,157,4.142,0,1,
31,2026-03-31 17:20:53,PPO,U-maze,135,4.304,0,1,
