episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1104.556,139,0,1,500,,,3.209,
2,-953.528,121,0,1,500,,,2.219,
3,-1573.611,195,0,1,500,,,2.223,
4,-1430.396,177,0,1,500,,,2.313,
5,-340.769,109,1,0,390,,1.762,1.762,
6,-1331.135,166,0,1,500,,,2.306,
7,-1172.893,144,0,1,500,,,2.267,
8,-1489.611,184,0,1,500,,,2.365,
9,-1489.78,184,0,1,500,,,2.386,
10,-1273.985,157,0,1,500,,,2.377,
11,-1551.651,192,0,1,500,,,2.32,
12,-1212.277,151,0,1,500,,,3.283,
13,-1406.17,174,0,1,500,,,2.368,
14,-597.207,141,1,0,429,,2.062,2.062,
15,-1219.277,150,0,1,500,,,2.306,
16,-989.676,126,0,1,500,,,2.804,
17,-757.093,161,1,0,451,,2.596,2.596,
18,-1044.517,131,0,1,500,,,2.498,
19,-1076.358,132,0,1,500,,,2.442,
20,-1144.232,141,0,1,500,,,2.444,
21,-1236.949,152,0,1,500,,,2.384,
22,-1090.324,134,0,1,500,,,2.778,
23,-574.524,138,1,0,456,,2.196,2.196,
24,-1099.916,139,0,1,500,,,2.434,
25,-927.0,113,0,1,500,,,2.47,
26,-1360.78,168,0,1,500,,,2.394,
27,-1354.306,167,0,1,500,,,2.495,
28,-2095.999,262,0,1,500,,,2.516,
29,-1221.232,154,0,1,500,,,2.688,
30,-387.96,115,1,0,379,,1.888,1.888,
31,-1694.535,214,0,1,500,,,2.417,
32,-963.196,122,0,1,500,,,2.41,
33,-1080.783,133,0,1,500,,,2.464,
34,-1018.905,125,0,1,500,,,2.389,
35,-1413.801,174,0,1,500,,,2.492,
36,-1328.216,164,0,1,500,,,2.41,
37,-1235.215,152,0,1,500,,,2.486,
38,-1186.643,146,0,1,500,,,2.502,
39,-1036.438,130,0,1,500,,,2.486,
40,-2066.863,256,0,1,500,,,2.436,
41,-1701.205,210,0,1,500,,,2.486,
42,-338.278,109,1,0,337,,1.653,1.653,
43,-1033.875,130,0,1,500,,,2.434,
44,-1058.581,130,0,1,500,,,2.452,
45,-301.432,104,1,0,397,,1.922,1.922,
46,-1556.743,196,0,1,500,,,2.435,
