episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1121.825,139,0,1,500,0.9965,,1.799,
2,-1157.496,146,0,1,500,0.993,,1.713,
3,-825.339,102,0,1,500,0.9895,,1.785,
4,-1210.968,152,0,1,500,0.9861,,1.732,
5,-959.094,120,0,1,500,0.9826,,1.85,
6,-1129.959,140,0,1,500,0.9792,,1.899,
7,-1153.209,143,0,1,500,0.9758,,1.915,
8,-919.077,117,0,1,500,0.9723,,1.982,
9,-1128.898,140,0,1,500,0.9689,,1.917,
10,-984.908,121,0,1,500,0.9655,,2.016,
11,-810.379,100,0,1,500,0.9622,,2.017,
12,-763.426,96,0,1,500,0.9588,,1.885,
13,-913.666,116,0,1,500,0.9554,,1.749,
14,-1269.392,157,0,1,500,0.9521,,1.702,
15,-523.362,65,0,1,500,0.9488,,1.745,
16,-1006.467,128,0,1,500,0.9454,,1.733,
17,-675.584,86,0,1,500,0.9421,,1.816,
18,-759.064,96,0,1,500,0.9388,,1.766,
19,-863.745,109,0,1,500,0.9356,,1.749,
20,-758.07,96,0,1,500,0.9323,,1.8,
21,-674.33,85,0,1,500,0.929,,1.733,
22,-856.836,109,0,1,500,0.9258,,1.804,
23,-600.508,77,0,1,500,0.9225,,1.841,
24,-836.248,105,0,1,500,0.9193,,1.767,
25,-920.713,116,0,1,500,0.9161,,1.729,
26,-653.094,84,0,1,500,0.9129,,1.796,
27,-912.644,116,0,1,500,0.9097,,1.762,
28,-545.888,68,0,1,500,0.9065,,1.845,
29,-739.024,92,0,1,500,0.9033,,1.755,
30,-582.469,74,0,1,500,0.9002,,1.843,
31,-892.776,112,0,1,500,0.897,,1.802,
32,-660.333,84,0,1,500,0.8939,,1.865,
33,-760.738,97,0,1,500,0.8907,,1.801,
34,-861.038,112,0,1,500,0.8876,,1.8,
35,-604.486,77,0,1,500,0.8845,,1.766,
36,-714.684,91,0,1,500,0.8814,,1.8,
37,-454.514,57,0,1,500,0.8783,,1.8,
38,-1001.193,127,0,1,500,0.8753,,1.817,
39,-854.414,108,0,1,500,0.8722,,1.792,
40,-587.73,75,0,1,500,0.8691,,1.834,
41,-747.727,98,0,1,500,0.8661,,1.839,
42,-647.379,82,0,1,500,0.8631,,1.816,
43,-707.94,89,0,1,500,0.8601,,1.789,
