trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-03 12:02:24,Q-Learning,Z-maze,82,1.749,0,1,
2,2026-04-03 12:02:25,Q-Learning,Z-maze,172,1.883,0,1,
3,2026-04-03 12:02:27,Q-Learning,Z-maze,114,1.801,0,1,
4,2026-04-03 12:02:29,Q-Learning,Z-maze,88,1.716,0,1,
5,2026-04-03 12:02:31,Q-Learning,Z-maze,159,1.7,0,1,
6,2026-04-03 12:02:32,Q-Learning,Z-maze,96,1.733,0,1,
7,2026-04-03 12:02:34,Q-Learning,Z-maze,184,1.667,0,1,
8,2026-04-03 12:02:36,Q-Learning,Z-maze,132,1.8,0,1,
9,2026-04-03 12:02:38,Q-Learning,Z-maze,140,1.705,0,1,
10,2026-04-03 12:02:39,Q-Learning,Z-maze,135,1.691,0,1,
11,2026-04-03 12:02:41,Q-Learning,Z-maze,109,1.759,0,1,
12,2026-04-03 12:02:43,Q-Learning,Z-maze,64,1.784,0,1,
13,2026-04-03 12:02:45,Q-Learning,Z-maze,51,1.838,0,1,
14,2026-04-03 12:02:46,Q-Learning,Z-maze,142,1.769,0,1,
15,2026-04-03 12:02:48,Q-Learning,Z-maze,87,1.714,0,1,
16,2026-04-03 12:02:50,Q-Learning,Z-maze,98,1.733,0,1,
17,2026-04-03 12:02:52,Q-Learning,Z-maze,99,1.766,0,1,
18,2026-04-03 12:02:53,Q-Learning,Z-maze,128,1.746,0,1,
19,2026-04-03 12:02:55,Q-Learning,Z-maze,53,1.834,0,1,
20,2026-04-03 12:02:57,Q-Learning,Z-maze,107,1.783,0,1,
21,2026-04-03 12:02:59,Q-Learning,Z-maze,66,1.783,0,1,
22,2026-04-03 12:03:01,Q-Learning,Z-maze,126,1.733,0,1,
23,2026-04-03 12:03:02,Q-Learning,Z-maze,102,1.698,0,1,
24,2026-04-03 12:03:04,Q-Learning,Z-maze,59,1.833,0,1,
25,2026-04-03 12:03:06,Q-Learning,Z-maze,117,1.768,0,1,
26,2026-04-03 12:03:08,Q-Learning,Z-maze,86,1.784,0,1,
27,2026-04-03 12:03:09,Q-Learning,Z-maze,49,1.816,0,1,
28,2026-04-03 12:03:11,Q-Learning,Z-maze,73,1.916,0,1,
29,2026-04-03 12:03:13,Q-Learning,Z-maze,87,1.783,0,1,
30,2026-04-03 12:03:15,Q-Learning,Z-maze,100,1.8,0,1,
31,2026-04-03 12:03:17,Q-Learning,Z-maze,83,1.75,0,1,
32,2026-04-03 12:03:19,Q-Learning,Z-maze,65,1.801,0,1,
33,2026-04-03 12:03:20,Q-Learning,Z-maze,82,1.767,0,1,
34,2026-04-03 12:03:22,Q-Learning,Z-maze,86,1.833,0,1,
35,2026-04-03 12:03:24,Q-Learning,Z-maze,93,1.817,0,1,
36,2026-04-03 12:03:26,Q-Learning,Z-maze,112,1.8,0,1,
37,2026-04-03 12:03:28,Q-Learning,Z-maze,83,1.75,0,1,
38,2026-04-03 12:03:29,Q-Learning,Z-maze,105,1.75,0,1,
39,2026-04-03 12:03:31,Q-Learning,Z-maze,107,1.784,0,1,
40,2026-04-03 12:03:33,Q-Learning,Z-maze,76,1.833,0,1,
41,2026-04-03 12:03:35,Q-Learning,Z-maze,79,1.804,0,1,
42,2026-04-03 12:03:37,Q-Learning,Z-maze,103,1.792,0,1,
43,2026-04-03 12:03:38,Q-Learning,Z-maze,91,1.849,0,1,
44,2026-04-03 12:03:40,Q-Learning,Z-maze,113,1.866,0,1,
45,2026-04-03 12:03:42,Q-Learning,Z-maze,91,1.815,0,1,
46,2026-04-03 12:03:44,Q-Learning,Z-maze,66,1.783,0,1,
47,2026-04-03 12:03:46,Q-Learning,Z-maze,74,1.834,0,1,
48,2026-04-03 12:03:48,Q-Learning,Z-maze,90,1.866,0,1,
49,2026-04-03 12:03:49,Q-Learning,Z-maze,116,1.799,0,1,
50,2026-04-03 12:03:51,Q-Learning,Z-maze,119,1.783,0,1,
51,2026-04-03 12:03:53,Q-Learning,Z-maze,98,1.783,0,1,
52,2026-04-03 12:03:55,Q-Learning,Z-maze,82,1.801,0,1,
53,2026-04-03 12:03:57,Q-Learning,Z-maze,88,1.823,0,1,
54,2026-04-03 12:03:58,Q-Learning,Z-maze,54,1.782,0,1,
55,2026-04-03 12:04:00,Q-Learning,Z-maze,73,1.785,0,1,
