trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-04 16:16:01,Q-Learning,Z-maze,150,0.667,0,1,
2,2026-04-04 16:16:02,Q-Learning,Z-maze,96,0.626,0,1,
3,2026-04-04 16:16:03,Q-Learning,Z-maze,105,0.598,0,1,
4,2026-04-04 16:16:03,Q-Learning,Z-maze,93,0.598,0,1,
5,2026-04-04 16:16:04,Q-Learning,Z-maze,142,0.583,0,1,
6,2026-04-04 16:16:04,Q-Learning,Z-maze,116,0.598,0,1,
7,2026-04-04 16:16:05,Q-Learning,Z-maze,53,0.6,0,1,
8,2026-04-04 16:16:06,Q-Learning,Z-maze,95,0.582,0,1,
9,2026-04-04 16:16:06,Q-Learning,Z-maze,120,0.583,0,1,
10,2026-04-04 16:16:07,Q-Learning,Z-maze,86,0.583,0,1,
11,2026-04-04 16:16:07,Q-Learning,Z-maze,118,0.584,0,1,
12,2026-04-04 16:16:08,Q-Learning,Z-maze,112,0.599,0,1,
13,2026-04-04 16:16:09,Q-Learning,Z-maze,66,0.583,0,1,
14,2026-04-04 16:16:09,Q-Learning,Z-maze,116,0.583,0,1,
15,2026-04-04 16:16:10,Q-Learning,Z-maze,123,0.601,0,1,
16,2026-04-04 16:16:10,Q-Learning,Z-maze,84,0.6,0,1,
17,2026-04-04 16:16:11,Q-Learning,Z-maze,138,0.583,0,1,
18,2026-04-04 16:16:12,Q-Learning,Z-maze,70,0.6,0,1,
19,2026-04-04 16:16:12,Q-Learning,Z-maze,102,0.583,0,1,
20,2026-04-04 16:16:13,Q-Learning,Z-maze,116,0.583,0,1,
21,2026-04-04 16:16:13,Q-Learning,Z-maze,109,0.584,0,1,
22,2026-04-04 16:16:14,Q-Learning,Z-maze,81,0.583,0,1,
23,2026-04-04 16:16:14,Q-Learning,Z-maze,77,0.634,0,1,
24,2026-04-04 16:16:15,Q-Learning,Z-maze,48,0.6,0,1,
25,2026-04-04 16:16:16,Q-Learning,Z-maze,108,0.583,0,1,
26,2026-04-04 16:16:16,Q-Learning,Z-maze,71,0.584,0,1,
27,2026-04-04 16:16:17,Q-Learning,Z-maze,81,0.598,0,1,
28,2026-04-04 16:16:17,Q-Learning,Z-maze,101,0.585,0,1,
29,2026-04-04 16:16:18,Q-Learning,Z-maze,63,0.599,0,1,
30,2026-04-04 16:16:19,Q-Learning,Z-maze,86,0.6,0,1,
31,2026-04-04 16:16:19,Q-Learning,Z-maze,114,0.583,0,1,
32,2026-04-04 16:16:20,Q-Learning,Z-maze,47,0.65,0,1,
33,2026-04-04 16:16:20,Q-Learning,Z-maze,94,0.617,0,1,
34,2026-04-04 16:16:21,Q-Learning,Z-maze,109,0.58,0,1,
35,2026-04-04 16:16:22,Q-Learning,Z-maze,79,0.616,0,1,
36,2026-04-04 16:16:22,Q-Learning,Z-maze,107,0.567,0,1,
37,2026-04-04 16:16:23,Q-Learning,Z-maze,105,0.617,0,1,
38,2026-04-04 16:16:24,Q-Learning,Z-maze,114,0.633,0,1,
39,2026-04-04 16:16:24,Q-Learning,Z-maze,73,0.633,0,1,
40,2026-04-04 16:16:25,Q-Learning,Z-maze,96,0.617,0,1,
41,2026-04-04 16:16:25,Q-Learning,Z-maze,53,0.615,0,1,
42,2026-04-04 16:16:26,Q-Learning,Z-maze,92,0.617,0,1,
43,2026-04-04 16:16:27,Q-Learning,Z-maze,88,0.633,0,1,
44,2026-04-04 16:16:27,Q-Learning,Z-maze,87,0.6,0,1,
45,2026-04-04 16:16:28,Q-Learning,Z-maze,72,0.6,0,1,
46,2026-04-04 16:16:28,Q-Learning,Z-maze,50,0.6,0,1,
47,2026-04-04 16:16:29,Q-Learning,Z-maze,72,0.6,0,1,
48,2026-04-04 16:16:30,Q-Learning,Z-maze,90,0.633,0,1,
49,2026-04-04 16:16:30,Q-Learning,Z-maze,118,0.567,0,1,
50,2026-04-04 16:16:31,Q-Learning,Z-maze,63,0.633,0,1,
51,2026-04-04 16:16:31,Q-Learning,Z-maze,95,0.583,0,1,
52,2026-04-04 16:16:32,Q-Learning,Z-maze,98,0.583,0,1,
53,2026-04-04 16:16:33,Q-Learning,Z-maze,98,0.6,0,1,
54,2026-04-04 16:16:33,Q-Learning,Z-maze,80,0.584,0,1,
55,2026-04-04 16:16:34,Q-Learning,Z-maze,85,0.6,0,1,
56,2026-04-04 16:16:34,Q-Learning,Z-maze,91,0.583,0,1,
57,2026-04-04 16:16:35,Q-Learning,Z-maze,99,0.6,0,1,
58,2026-04-04 16:16:36,Q-Learning,Z-maze,75,0.616,0,1,
59,2026-04-04 16:16:36,Q-Learning,Z-maze,80,0.583,0,1,
60,2026-04-04 16:16:37,Q-Learning,Z-maze,87,0.617,0,1,
61,2026-04-04 16:16:38,Q-Learning,Z-maze,94,0.632,0,1,
62,2026-04-04 16:16:38,Q-Learning,Z-maze,95,0.616,0,1,
63,2026-04-04 16:16:39,Q-Learning,Z-maze,91,0.6,0,1,
64,2026-04-04 16:16:39,Q-Learning,Z-maze,102,0.6,0,1,
65,2026-04-04 16:16:40,Q-Learning,Z-maze,78,0.6,0,1,
66,2026-04-04 16:16:41,Q-Learning,Z-maze,71,0.6,0,1,
67,2026-04-04 16:16:41,Q-Learning,Z-maze,91,0.585,0,1,
68,2026-04-04 16:16:42,Q-Learning,Z-maze,86,0.599,0,1,
69,2026-04-04 16:16:42,Q-Learning,Z-maze,86,0.6,0,1,
70,2026-04-04 16:16:43,Q-Learning,Z-maze,79,0.6,0,1,
71,2026-04-04 16:16:44,Q-Learning,Z-maze,93,0.582,0,1,
72,2026-04-04 16:16:44,Q-Learning,Z-maze,97,0.6,0,1,
73,2026-04-04 16:16:45,Q-Learning,Z-maze,80,0.6,0,1,
74,2026-04-04 16:16:45,Q-Learning,Z-maze,77,0.6,0,1,
