episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-576.828,71,0,1,500,0.9965,,2.418,
2,-725.035,90,0,1,500,0.993,,2.313,
3,-1335.851,165,0,1,500,0.9895,,2.182,
4,-1107.087,136,0,1,500,0.9861,,2.265,
5,-1192.019,147,0,1,500,0.9826,,2.234,
6,-725.136,92,0,1,500,0.9792,,2.294,
7,-719.582,89,0,1,500,0.9758,,2.265,
8,-1145.265,143,0,1,500,0.9723,,2.162,
9,-796.48,99,0,1,500,0.9689,,2.244,
10,-744.195,94,0,1,500,0.9655,,2.2,
11,-862.387,107,0,1,500,0.9622,,2.239,
12,-987.985,123,0,1,500,0.9588,,2.248,
13,-937.812,119,0,1,500,0.9554,,2.253,
14,-646.793,80,0,1,500,0.9521,,2.34,
15,-1055.841,134,0,1,500,0.9488,,2.216,
16,-685.731,86,0,1,500,0.9454,,2.292,
17,-818.016,103,0,1,500,0.9421,,2.202,
18,-604.102,76,0,1,500,0.9388,,2.266,
19,-692.595,86,0,1,500,0.9356,,2.221,
20,-727.753,90,0,1,500,0.9323,,2.177,
21,-551.469,69,0,1,500,0.929,,2.25,
22,-812.696,103,0,1,500,0.9258,,2.21,
23,-1152.232,145,0,1,500,0.9225,,2.176,
24,-862.412,109,0,1,500,0.9193,,2.219,
25,-739.747,94,0,1,500,0.9161,,2.28,
26,-639.707,81,0,1,500,0.9129,,2.249,
27,-638.645,79,0,1,500,0.9097,,2.517,
28,-794.45,101,0,1,500,0.9065,,2.216,
29,-667.247,85,0,1,500,0.9033,,2.225,
30,-554.684,71,0,1,500,0.9002,,2.282,
31,-787.099,100,0,1,500,0.897,,2.334,
32,-642.74,81,0,1,500,0.8939,,2.267,
33,-560.162,72,0,1,500,0.8907,,2.231,
34,-745.625,95,0,1,500,0.8876,,2.235,
35,-898.797,114,0,1,500,0.8845,,2.24,
36,-732.744,94,0,1,500,0.8814,,2.253,
37,-753.476,96,0,1,500,0.8783,,2.2,
38,-854.07,109,0,1,500,0.8753,,2.188,
39,-696.825,88,0,1,500,0.8722,,2.232,
40,-583.773,73,0,1,500,0.8691,,2.313,
41,-925.091,117,0,1,500,0.8661,,2.245,
42,-721.71,92,0,1,500,0.8631,,2.202,
43,-847.03,108,0,1,500,0.8601,,2.243,
44,-655.117,84,0,1,500,0.857,,2.308,
45,-561.805,72,0,1,500,0.854,,2.325,
46,-732.897,92,0,1,500,0.8511,,2.247,
47,-747.906,95,0,1,500,0.8481,,2.268,
48,-599.106,74,0,1,500,0.8451,,2.274,
49,-803.042,102,0,1,500,0.8421,,2.305,
50,-696.371,87,0,1,500,0.8392,,2.481,
51,-877.902,112,0,1,500,0.8363,,2.223,
52,-662.574,84,0,1,500,0.8333,,2.264,
53,-639.117,82,0,1,500,0.8304,,2.332,
54,-691.163,88,0,1,500,0.8275,,2.319,
55,-698.363,89,0,1,500,0.8246,,2.254,
56,-734.449,94,0,1,500,0.8217,,2.291,
57,-876.593,112,0,1,500,0.8189,,2.344,
58,-570.242,73,0,1,500,0.816,,2.333,
59,-590.061,76,0,1,500,0.8131,,2.409,
60,-703.247,89,0,1,500,0.8103,,2.269,
61,-533.432,68,0,1,500,0.8074,,2.193,
62,-680.656,87,0,1,500,0.8046,,2.255,
63,-604.38,77,0,1,500,0.8018,,2.278,
64,-601.694,77,0,1,500,0.799,,2.217,
65,-740.982,95,0,1,500,0.7962,,2.225,
66,-546.042,69,0,1,500,0.7934,,2.323,
67,-560.621,71,0,1,500,0.7906,,2.3,
68,-589.765,75,0,1,500,0.7879,,2.245,
69,-775.844,99,0,1,500,0.7851,,2.237,
70,-675.748,86,0,1,500,0.7824,,2.267,
71,-617.342,79,0,1,500,0.7796,,2.237,
72,-530.239,68,0,1,500,0.7769,,2.253,
73,-397.886,51,0,1,500,0.7742,,2.262,
74,-532.801,68,0,1,500,0.7715,,2.292,
75,-657.596,84,0,1,500,0.7688,,2.288,
76,-629.545,81,0,1,500,0.7661,,2.233,
77,-561.906,72,0,1,500,0.7634,,2.312,
78,-716.692,92,0,1,500,0.7607,,2.777,
