episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1487.648,184,0,1,500,0.9965,,0.802,
2,-1208.559,150,0,1,500,0.993,,0.878,
3,-1057.204,131,0,1,500,0.9895,,0.891,
4,-952.544,121,0,1,500,0.9861,,1.051,
5,-849.211,107,0,1,500,0.9826,,0.849,
6,-867.69,108,0,1,500,0.9792,,0.825,
7,-1317.785,164,0,1,500,0.9758,,0.819,
8,-1266.831,157,0,1,500,0.9723,,0.817,
9,-670.954,85,0,1,500,0.9689,,1.0,
10,-779.938,97,0,1,500,0.9655,,1.034,
11,-927.743,116,0,1,500,0.9622,,0.895,
12,-1350.554,167,0,1,500,0.9588,,0.832,
13,-1320.672,164,0,1,500,0.9554,,0.767,
14,-686.972,86,0,1,500,0.9521,,0.817,
15,-851.03,108,0,1,500,0.9488,,0.825,
16,-930.956,118,0,1,500,0.9454,,1.201,
17,-530.185,66,0,1,500,0.9421,,1.099,
18,-855.907,108,0,1,500,0.9388,,0.909,
19,-1218.302,153,0,1,500,0.9356,,0.805,
20,-815.407,102,0,1,500,0.9323,,2.972,
21,-752.758,96,0,1,500,0.929,,1.514,
22,-1140.407,145,0,1,500,0.9258,,0.999,
23,-546.807,67,0,1,500,0.9225,,0.89,
24,-889.782,113,0,1,500,0.9193,,0.817,
25,-928.376,118,0,1,500,0.9161,,0.849,
26,-712.595,88,0,1,500,0.9129,,1.267,
27,-563.844,70,0,1,500,0.9097,,2.436,
28,-1082.903,135,0,1,500,0.9065,,3.372,
29,-832.116,106,0,1,500,0.9033,,3.299,
30,-858.585,108,0,1,500,0.9002,,1.427,
31,-744.811,94,0,1,500,0.897,,1.053,
32,-954.588,120,0,1,500,0.8939,,1.023,
33,-797.242,101,0,1,500,0.8907,,1.045,
34,-768.658,97,0,1,500,0.8876,,0.916,
35,-842.222,107,0,1,500,0.8845,,0.883,
36,-627.447,80,0,1,500,0.8814,,0.914,
37,-552.103,71,0,1,500,0.8783,,0.916,
38,-677.258,85,0,1,500,0.8753,,0.883,
39,-618.316,79,0,1,500,0.8722,,0.861,
40,-904.872,115,0,1,500,0.8691,,0.899,
41,-819.147,104,0,1,500,0.8661,,0.915,
42,-459.183,59,0,1,500,0.8631,,1.271,
43,-580.364,74,0,1,500,0.8601,,0.894,
44,-861.35,109,0,1,500,0.857,,0.941,
45,-630.452,81,0,1,500,0.854,,1.047,
46,-680.772,87,0,1,500,0.8511,,3.238,
47,-652.655,83,0,1,500,0.8481,,2.752,
48,-647.843,84,0,1,500,0.8451,,3.711,
49,-502.479,64,0,1,500,0.8421,,3.199,
50,-665.781,85,0,1,500,0.8392,,2.468,
51,-499.196,63,0,1,500,0.8363,,2.38,
52,-662.825,84,0,1,500,0.8333,,3.403,
53,-720.547,92,0,1,500,0.8304,,3.902,
