trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-04 15:59:25,Q-Learning,Z-maze,174,0.602,0,1,
2,2026-04-04 15:59:26,Q-Learning,Z-maze,166,0.567,0,1,
3,2026-04-04 15:59:26,Q-Learning,Z-maze,93,0.601,0,1,
4,2026-04-04 15:59:27,Q-Learning,Z-maze,93,0.583,0,1,
5,2026-04-04 15:59:27,Q-Learning,Z-maze,129,0.583,0,1,
6,2026-04-04 15:59:28,Q-Learning,Z-maze,148,0.55,0,1,
7,2026-04-04 15:59:29,Q-Learning,Z-maze,155,0.55,0,1,
8,2026-04-04 15:59:29,Q-Learning,Z-maze,130,0.583,0,1,
9,2026-04-04 15:59:30,Q-Learning,Z-maze,133,0.577,0,1,
10,2026-04-04 15:59:30,Q-Learning,Z-maze,72,0.583,0,1,
11,2026-04-04 15:59:31,Q-Learning,Z-maze,126,0.572,0,1,
12,2026-04-04 15:59:32,Q-Learning,Z-maze,156,0.569,0,1,
13,2026-04-04 15:59:32,Q-Learning,Z-maze,117,0.566,0,1,
14,2026-04-04 15:59:33,Q-Learning,Z-maze,128,0.567,0,1,
15,2026-04-04 15:59:33,Q-Learning,Z-maze,101,0.584,0,1,
16,2026-04-04 15:59:34,Q-Learning,Z-maze,95,0.564,0,1,
17,2026-04-04 15:59:34,Q-Learning,Z-maze,122,0.583,0,1,
18,2026-04-04 15:59:35,Q-Learning,Z-maze,92,0.583,0,1,
19,2026-04-04 15:59:36,Q-Learning,Z-maze,141,0.555,0,1,
20,2026-04-04 15:59:36,Q-Learning,Z-maze,109,0.579,0,1,
21,2026-04-04 15:59:37,Q-Learning,Z-maze,102,0.583,0,1,
22,2026-04-04 15:59:37,Q-Learning,Z-maze,113,0.567,0,1,
23,2026-04-04 15:59:38,Q-Learning,Z-maze,130,0.551,0,1,
24,2026-04-04 15:59:38,Q-Learning,Z-maze,102,0.584,0,1,
25,2026-04-04 15:59:39,Q-Learning,Z-maze,100,0.567,0,1,
26,2026-04-04 15:59:40,Q-Learning,Z-maze,122,0.566,0,1,
27,2026-04-04 15:59:40,Q-Learning,Z-maze,115,0.579,0,1,
28,2026-04-04 15:59:41,Q-Learning,Z-maze,97,0.584,0,1,
29,2026-04-04 15:59:41,Q-Learning,Z-maze,100,0.6,0,1,
30,2026-04-04 15:59:42,Q-Learning,Z-maze,78,0.6,0,1,
31,2026-04-04 15:59:43,Q-Learning,Z-maze,99,0.583,0,1,
32,2026-04-04 15:59:43,Q-Learning,Z-maze,87,0.583,0,1,
33,2026-04-04 15:59:44,Q-Learning,Z-maze,82,0.567,0,1,
34,2026-04-04 15:59:44,Q-Learning,Z-maze,108,0.568,0,1,
35,2026-04-04 15:59:45,Q-Learning,Z-maze,90,0.6,0,1,
36,2026-04-04 15:59:45,Q-Learning,Z-maze,63,0.591,0,1,
37,2026-04-04 15:59:46,Q-Learning,Z-maze,51,0.608,0,1,
38,2026-04-04 15:59:47,Q-Learning,Z-maze,87,0.583,0,1,
