episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1018.911,125,0,1,500,0.9965,,1.283,
2,-942.458,115,0,1,500,0.993,,1.304,
3,-1072.877,132,0,1,500,0.9895,,1.347,
4,-974.577,120,0,1,500,0.9861,,1.294,
5,-1130.256,139,0,1,500,0.9826,,1.332,
6,-1151.745,142,0,1,500,0.9792,,1.283,
7,-1362.032,168,0,1,500,0.9758,,1.283,
8,-902.223,110,0,1,500,0.9723,,1.25,
9,-1044.414,128,0,1,500,0.9689,,1.233,
10,-1039.11,131,0,1,500,0.9655,,1.25,
11,-1154.464,145,0,1,500,0.9622,,1.252,
12,-852.485,104,0,1,500,0.9588,,1.286,
13,-1144.209,141,0,1,500,0.9554,,1.361,
14,-1345.732,166,0,1,500,0.9521,,1.289,
15,-1322.712,163,0,1,500,0.9488,,1.367,
16,-1045.352,128,0,1,500,0.9454,,1.333,
17,-946.041,116,0,1,500,0.9421,,1.266,
18,-1087.772,136,0,1,500,0.9388,,1.379,
19,-1026.911,126,0,1,500,0.9356,,1.25,
20,-887.229,112,0,1,500,0.9323,,1.233,
21,-1108.438,136,0,1,500,0.929,,1.332,
22,-174.149,88,1,0,397,0.9258,0.967,0.967,
23,-1201.659,152,0,1,500,0.9225,,1.233,
24,-828.191,101,0,1,500,0.9193,,1.257,
25,-985.477,123,0,1,500,0.9161,,1.28,
26,-910.555,111,0,1,500,0.9129,,1.221,
27,-947.371,116,0,1,500,0.9097,,1.233,
28,-840.011,102,0,1,500,0.9065,,1.233,
29,-860.2,105,0,1,500,0.9033,,1.217,
30,-1094.321,134,0,1,500,0.9002,,1.233,
31,-1017.157,125,0,1,500,0.897,,1.217,
32,-1012.75,124,0,1,500,0.8939,,1.233,
33,-240.828,96,1,0,461,0.8907,1.133,1.133,
34,-949.722,116,0,1,500,0.8876,,1.25,
35,-919.486,115,0,1,500,0.8845,,1.216,
36,-1010.979,124,0,1,500,0.8814,,1.217,
37,-1163.59,143,0,1,500,0.8783,,1.234,
38,-807.256,98,0,1,500,0.8753,,1.24,
39,-935.3,117,0,1,500,0.8722,,1.2,
40,-925.599,113,0,1,500,0.8691,,1.233,
41,-887.84,112,0,1,500,0.8661,,1.217,
42,-750.689,91,0,1,500,0.8631,,1.2,
43,-76.671,76,1,0,353,0.8601,0.866,0.866,
44,-287.092,102,1,0,433,0.857,1.067,1.067,
45,-809.648,104,0,1,500,0.854,,1.242,
46,-674.506,87,0,1,500,0.8511,,1.239,
47,-68.961,75,1,0,358,0.8481,0.883,0.883,
48,-891.657,109,0,1,500,0.8451,,1.216,
49,-929.664,114,0,1,500,0.8421,,1.233,
50,-804.143,98,0,1,500,0.8392,,1.233,
51,-893.02,109,0,1,500,0.8363,,1.232,
52,-796.171,101,0,1,500,0.8333,,1.233,
53,-818.46,100,0,1,500,0.8304,,1.233,
54,-982.384,120,0,1,500,0.8275,,1.234,
55,-955.265,117,0,1,500,0.8246,,1.249,
