trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-29 23:58:25,Q-Learning,U-maze,114,1.33,0,1,
2,2026-03-29 23:58:26,Q-Learning,U-maze,122,1.263,0,1,
3,2026-03-29 23:58:27,Q-Learning,U-maze,150,1.293,0,1,
4,2026-03-29 23:58:29,Q-Learning,U-maze,145,1.273,0,1,
5,2026-03-29 23:58:30,Q-Learning,U-maze,142,1.267,0,1,
6,2026-03-29 23:58:31,Q-Learning,U-maze,137,1.332,0,1,
7,2026-03-29 23:58:33,Q-Learning,U-maze,121,1.302,0,1,
8,2026-03-29 23:58:34,Q-Learning,U-maze,132,1.368,0,1,
9,2026-03-29 23:58:35,Q-Learning,U-maze,144,1.186,0,1,
10,2026-03-29 23:58:36,Q-Learning,U-maze,154,1.209,0,1,
11,2026-03-29 23:58:38,Q-Learning,U-maze,110,1.218,0,1,
12,2026-03-29 23:58:39,Q-Learning,U-maze,111,1.232,0,1,
13,2026-03-29 23:58:40,Q-Learning,U-maze,134,1.2,0,1,
14,2026-03-29 23:58:41,Q-Learning,U-maze,146,1.2,0,1,
15,2026-03-29 23:58:43,Q-Learning,U-maze,136,1.217,0,1,
16,2026-03-29 23:58:44,Q-Learning,U-maze,125,1.227,0,1,
17,2026-03-29 23:58:45,Q-Learning,U-maze,119,1.2,0,1,
18,2026-03-29 23:58:46,Q-Learning,U-maze,103,1.084,1,0,
19,2026-03-29 23:58:47,Q-Learning,U-maze,150,1.214,0,1,
20,2026-03-29 23:58:48,Q-Learning,U-maze,112,1.183,0,1,
21,2026-03-29 23:58:50,Q-Learning,U-maze,132,1.217,0,1,
22,2026-03-29 23:58:51,Q-Learning,U-maze,109,1.2,0,1,
23,2026-03-29 23:58:52,Q-Learning,U-maze,146,1.234,0,1,
24,2026-03-29 23:58:53,Q-Learning,U-maze,119,1.216,0,1,
25,2026-03-29 23:58:55,Q-Learning,U-maze,119,1.266,0,1,
26,2026-03-29 23:58:56,Q-Learning,U-maze,110,1.266,0,1,
27,2026-03-29 23:58:57,Q-Learning,U-maze,137,1.217,0,1,
28,2026-03-29 23:58:58,Q-Learning,U-maze,117,1.217,0,1,
29,2026-03-29 23:58:59,Q-Learning,U-maze,124,1.223,0,1,
30,2026-03-29 23:59:01,Q-Learning,U-maze,126,1.211,0,1,
31,2026-03-29 23:59:02,Q-Learning,U-maze,115,1.25,0,1,
32,2026-03-29 23:59:03,Q-Learning,U-maze,119,1.217,0,1,
33,2026-03-29 23:59:04,Q-Learning,U-maze,130,1.318,0,1,
34,2026-03-29 23:59:06,Q-Learning,U-maze,109,1.245,0,1,
35,2026-03-29 23:59:07,Q-Learning,U-maze,135,1.201,0,1,
36,2026-03-29 23:59:08,Q-Learning,U-maze,109,0.9,1,0,
37,2026-03-29 23:59:09,Q-Learning,U-maze,102,1.2,0,1,
38,2026-03-29 23:59:10,Q-Learning,U-maze,129,1.217,0,1,
39,2026-03-29 23:59:11,Q-Learning,U-maze,108,1.221,0,1,
40,2026-03-29 23:59:13,Q-Learning,U-maze,125,1.211,0,1,
41,2026-03-29 23:59:14,Q-Learning,U-maze,129,1.233,0,1,
42,2026-03-29 23:59:15,Q-Learning,U-maze,108,1.183,0,1,
43,2026-03-29 23:59:16,Q-Learning,U-maze,115,1.185,0,1,
44,2026-03-29 23:59:18,Q-Learning,U-maze,118,1.233,0,1,
45,2026-03-29 23:59:18,Q-Learning,U-maze,63,0.702,1,0,
46,2026-03-29 23:59:19,Q-Learning,U-maze,109,1.098,1,0,
47,2026-03-29 23:59:21,Q-Learning,U-maze,124,1.2,0,1,
48,2026-03-29 23:59:22,Q-Learning,U-maze,118,1.2,0,1,
49,2026-03-29 23:59:23,Q-Learning,U-maze,91,1.2,0,1,
50,2026-03-29 23:59:24,Q-Learning,U-maze,125,1.233,0,1,
51,2026-03-29 23:59:25,Q-Learning,U-maze,117,1.217,0,1,
52,2026-03-29 23:59:27,Q-Learning,U-maze,134,1.2,0,1,
53,2026-03-29 23:59:28,Q-Learning,U-maze,102,1.183,0,1,
54,2026-03-29 23:59:29,Q-Learning,U-maze,124,1.2,0,1,
55,2026-03-29 23:59:30,Q-Learning,U-maze,110,1.2,0,1,
56,2026-03-29 23:59:31,Q-Learning,U-maze,106,1.233,0,1,
57,2026-03-29 23:59:33,Q-Learning,U-maze,116,1.2,0,1,
58,2026-03-29 23:59:34,Q-Learning,U-maze,118,1.25,0,1,
59,2026-03-29 23:59:35,Q-Learning,U-maze,104,1.217,0,1,
60,2026-03-29 23:59:36,Q-Learning,U-maze,113,1.2,0,1,
61,2026-03-29 23:59:38,Q-Learning,U-maze,116,1.202,0,1,
62,2026-03-29 23:59:39,Q-Learning,U-maze,109,1.2,0,1,
63,2026-03-29 23:59:40,Q-Learning,U-maze,93,1.2,0,1,
64,2026-03-29 23:59:41,Q-Learning,U-maze,117,1.186,0,1,
65,2026-03-29 23:59:42,Q-Learning,U-maze,108,1.2,0,1,
66,2026-03-29 23:59:44,Q-Learning,U-maze,111,1.267,0,1,
67,2026-03-29 23:59:45,Q-Learning,U-maze,74,1.208,0,1,
68,2026-03-29 23:59:46,Q-Learning,U-maze,90,1.208,0,1,
69,2026-03-29 23:59:47,Q-Learning,U-maze,93,1.048,1,0,
70,2026-03-29 23:59:48,Q-Learning,U-maze,107,1.217,0,1,
