episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1029.457,127,0,1,500,0.9965,,1.238,
2,-1074.578,132,0,1,500,0.993,,1.209,
3,-1221.469,150,0,1,500,0.9895,,1.25,
4,-1235.858,152,0,1,500,0.9861,,1.2,
5,-902.452,110,0,1,500,0.9826,,1.246,
6,-1080.651,133,0,1,500,0.9792,,1.25,
7,-1145.947,141,0,1,500,0.9758,,1.234,
8,-1042.871,128,0,1,500,0.9723,,1.233,
9,-1054.904,129,0,1,500,0.9689,,1.233,
10,-1011.639,124,0,1,500,0.9655,,1.217,
11,-1058.495,130,0,1,500,0.9622,,1.233,
12,-1119.893,138,0,1,500,0.9588,,1.406,
13,-1076.443,132,0,1,500,0.9554,,1.37,
14,-1046.525,132,0,1,500,0.9521,,1.519,
15,-899.614,114,0,1,500,0.9488,,1.533,
16,-1002.369,128,0,1,500,0.9454,,1.5,
17,-917.299,115,0,1,500,0.9421,,1.499,
18,-1004.986,129,0,1,500,0.9388,,1.568,
19,-909.9,113,0,1,500,0.9356,,1.55,
20,-1123.901,138,0,1,500,0.9323,,1.599,
21,-949.128,116,0,1,500,0.929,,1.677,
22,-1041.038,128,0,1,500,0.9258,,1.739,
23,-711.573,91,0,1,500,0.9225,,1.7,
24,-376.317,113,1,0,470,0.9193,1.683,1.683,
25,-980.757,120,0,1,500,0.9161,,1.867,
26,-931.358,114,0,1,500,0.9129,,1.891,
27,-976.046,121,0,1,500,0.9097,,1.919,
28,-1146.034,141,0,1,500,0.9065,,1.936,
29,-1004.542,123,0,1,500,0.9033,,1.923,
30,-829.358,102,0,1,500,0.9002,,2.0,
31,-961.436,118,0,1,500,0.897,,2.01,
32,-1050.557,129,0,1,500,0.8939,,1.954,
33,-973.124,119,0,1,500,0.8907,,1.96,
34,-1040.97,128,0,1,500,0.8876,,1.958,
35,-986.985,121,0,1,500,0.8845,,1.98,
36,-1044.279,128,0,1,500,0.8814,,2.015,
37,-1106.298,136,0,1,500,0.8783,,1.811,
38,-804.032,98,0,1,500,0.8753,,1.5,
39,-213.709,93,1,0,393,0.8722,0.967,0.967,
40,-1010.864,124,0,1,500,0.8691,,1.234,
41,-1164.94,146,0,1,500,0.8661,,1.25,
42,-987.007,121,0,1,500,0.8631,,1.25,
43,-722.047,89,0,1,500,0.8601,,1.249,
44,-19.237,69,1,0,318,0.857,0.783,0.783,
45,-923.799,114,0,1,500,0.854,,1.35,
46,-988.576,125,0,1,500,0.8511,,1.243,
47,-868.115,106,0,1,500,0.8481,,1.24,
48,-224.014,94,1,0,446,0.8451,1.073,1.073,
49,-1060.299,130,0,1,500,0.8421,,1.25,
50,-789.934,96,0,1,500,0.8392,,1.25,
51,-995.032,122,0,1,500,0.8363,,1.301,
52,32.112,63,1,0,238,0.8333,0.648,0.648,
53,-859.752,105,0,1,500,0.8304,,1.234,
54,-732.537,93,0,1,500,0.8275,,1.233,
55,-957.043,117,0,1,500,0.8246,,1.233,
56,-953.385,117,0,1,500,0.8217,,1.234,
57,-1048.917,129,0,1,500,0.8189,,1.233,
58,-270.014,100,1,0,408,0.816,1.033,1.033,
59,-901.346,110,0,1,500,0.8131,,1.328,
60,-158.609,86,1,0,408,0.8103,1.016,1.016,
61,-848.34,108,0,1,500,0.8074,,1.255,
62,-699.323,87,0,1,500,0.8046,,1.209,
63,-731.317,89,0,1,500,0.8018,,1.238,
64,176.67,45,1,0,209,0.799,0.507,0.507,
65,-884.554,109,0,1,500,0.7962,,1.241,
66,39.762,62,1,0,246,0.7934,0.588,0.588,
67,-53.859,73,1,0,376,0.7906,0.934,0.934,
68,-730.913,89,0,1,500,0.7879,,1.26,
69,-881.917,108,0,1,500,0.7851,,1.214,
70,-118.335,81,1,0,395,0.7824,0.991,0.991,
71,95.014,55,1,0,253,0.7796,0.629,0.629,
72,50.989,60,1,0,343,0.7769,0.847,0.847,
73,101.233,54,1,0,290,0.7742,0.698,0.701,
74,182.591,44,1,0,252,0.7715,0.61,0.61,
75,137.31,50,1,0,199,0.7688,0.501,0.501,
76,-208.762,92,1,0,458,0.7661,1.126,1.126,
77,109.952,53,1,0,276,0.7634,0.668,0.668,
78,-796.287,97,0,1,500,0.7607,,1.25,
79,39.211,62,1,0,256,0.7581,0.634,0.634,
80,-77.722,76,1,0,376,0.7554,0.933,0.933,
81,-5.217,67,1,0,357,0.7528,0.884,0.884,
82,-49.878,72,1,0,459,0.7501,1.167,1.167,
83,200.177,42,1,0,217,0.7475,0.517,0.517,
84,40.485,62,1,0,229,0.7449,0.55,0.55,
85,34.51,62,1,0,356,0.7423,0.884,0.884,
86,249.582,36,1,0,180,0.7397,0.433,0.433,
87,151.751,48,1,0,232,0.7371,0.567,0.567,
88,304.506,29,1,0,196,0.7345,0.466,0.466,
89,307.174,29,1,0,140,0.7319,0.35,0.35,
90,290.46,31,1,0,157,0.7294,0.383,0.383,
91,262.17,34,1,0,250,0.7268,0.617,0.617,
92,-22.486,69,1,0,385,0.7243,0.983,0.983,
93,192.34,43,1,0,212,0.7218,0.516,0.516,
94,322.265,27,1,0,156,0.7192,0.383,0.383,
95,113.533,53,1,0,200,0.7167,0.486,0.486,
