trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-30 00:02:17,Q-Learning,U-maze,130,1.291,0,1,
2,2026-03-30 00:02:18,Q-Learning,U-maze,127,1.251,0,1,
3,2026-03-30 00:02:19,Q-Learning,U-maze,122,1.232,0,1,
4,2026-03-30 00:02:20,Q-Learning,U-maze,136,1.217,0,1,
5,2026-03-30 00:02:22,Q-Learning,U-maze,148,1.219,0,1,
6,2026-03-30 00:02:23,Q-Learning,U-maze,103,1.233,0,1,
7,2026-03-30 00:02:24,Q-Learning,U-maze,137,1.266,0,1,
8,2026-03-30 00:02:25,Q-Learning,U-maze,144,1.233,0,1,
9,2026-03-30 00:02:27,Q-Learning,U-maze,106,1.238,0,1,
10,2026-03-30 00:02:28,Q-Learning,U-maze,121,1.219,0,1,
11,2026-03-30 00:02:29,Q-Learning,U-maze,116,1.222,0,1,
12,2026-03-30 00:02:30,Q-Learning,U-maze,104,1.225,0,1,
13,2026-03-30 00:02:32,Q-Learning,U-maze,171,1.255,0,1,
14,2026-03-30 00:02:33,Q-Learning,U-maze,133,1.223,0,1,
15,2026-03-30 00:02:34,Q-Learning,U-maze,111,1.283,0,1,
16,2026-03-30 00:02:35,Q-Learning,U-maze,131,1.233,0,1,
17,2026-03-30 00:02:37,Q-Learning,U-maze,115,1.218,0,1,
18,2026-03-30 00:02:38,Q-Learning,U-maze,119,1.233,0,1,
19,2026-03-30 00:02:39,Q-Learning,U-maze,134,1.234,0,1,
20,2026-03-30 00:02:40,Q-Learning,U-maze,133,1.216,0,1,
21,2026-03-30 00:02:41,Q-Learning,U-maze,111,1.234,0,1,
22,2026-03-30 00:02:43,Q-Learning,U-maze,138,1.252,0,1,
23,2026-03-30 00:02:44,Q-Learning,U-maze,132,1.315,0,1,
24,2026-03-30 00:02:45,Q-Learning,U-maze,125,1.233,0,1,
25,2026-03-30 00:02:46,Q-Learning,U-maze,110,1.2,0,1,
26,2026-03-30 00:02:48,Q-Learning,U-maze,109,1.287,0,1,
27,2026-03-30 00:02:49,Q-Learning,U-maze,131,1.542,0,1,
28,2026-03-30 00:02:51,Q-Learning,U-maze,114,1.267,1,0,
29,2026-03-30 00:02:52,Q-Learning,U-maze,106,1.292,0,1,
30,2026-03-30 00:02:53,Q-Learning,U-maze,108,1.219,0,1,
31,2026-03-30 00:02:54,Q-Learning,U-maze,121,1.252,0,1,
32,2026-03-30 00:02:55,Q-Learning,U-maze,122,1.167,1,0,
33,2026-03-30 00:02:57,Q-Learning,U-maze,138,1.234,0,1,
34,2026-03-30 00:02:58,Q-Learning,U-maze,106,1.198,0,1,
35,2026-03-30 00:02:59,Q-Learning,U-maze,129,1.235,0,1,
36,2026-03-30 00:03:00,Q-Learning,U-maze,137,1.232,0,1,
37,2026-03-30 00:03:02,Q-Learning,U-maze,111,1.256,0,1,
38,2026-03-30 00:03:03,Q-Learning,U-maze,105,1.214,0,1,
39,2026-03-30 00:03:04,Q-Learning,U-maze,123,1.243,0,1,
40,2026-03-30 00:03:05,Q-Learning,U-maze,143,1.235,0,1,
41,2026-03-30 00:03:06,Q-Learning,U-maze,103,1.022,1,0,
42,2026-03-30 00:03:08,Q-Learning,U-maze,128,1.234,0,1,
43,2026-03-30 00:03:09,Q-Learning,U-maze,97,1.231,0,1,
44,2026-03-30 00:03:10,Q-Learning,U-maze,100,1.254,0,1,
45,2026-03-30 00:03:11,Q-Learning,U-maze,84,0.776,1,0,
46,2026-03-30 00:03:12,Q-Learning,U-maze,71,0.85,1,0,
47,2026-03-30 00:03:13,Q-Learning,U-maze,106,1.233,0,1,
48,2026-03-30 00:03:14,Q-Learning,U-maze,112,1.269,0,1,
49,2026-03-30 00:03:15,Q-Learning,U-maze,96,1.217,0,1,
50,2026-03-30 00:03:17,Q-Learning,U-maze,125,1.266,0,1,
51,2026-03-30 00:03:18,Q-Learning,U-maze,109,1.218,0,1,
52,2026-03-30 00:03:18,Q-Learning,U-maze,47,0.435,1,0,
53,2026-03-30 00:03:20,Q-Learning,U-maze,124,1.25,0,1,
54,2026-03-30 00:03:21,Q-Learning,U-maze,97,1.148,1,0,
55,2026-03-30 00:03:22,Q-Learning,U-maze,109,1.248,0,1,
56,2026-03-30 00:03:23,Q-Learning,U-maze,83,1.1,1,0,
57,2026-03-30 00:03:24,Q-Learning,U-maze,88,1.141,1,0,
58,2026-03-30 00:03:26,Q-Learning,U-maze,99,1.219,0,1,
59,2026-03-30 00:03:27,Q-Learning,U-maze,101,1.25,0,1,
