trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-30 00:41:04,Q-Learning,U-maze,161,1.336,0,1,
2,2026-03-30 00:41:05,Q-Learning,U-maze,132,1.283,0,1,
3,2026-03-30 00:41:06,Q-Learning,U-maze,126,1.255,0,1,
4,2026-03-30 00:41:07,Q-Learning,U-maze,140,1.278,0,1,
5,2026-03-30 00:41:09,Q-Learning,U-maze,139,1.279,0,1,
6,2026-03-30 00:41:10,Q-Learning,U-maze,142,1.267,0,1,
7,2026-03-30 00:41:12,Q-Learning,U-maze,145,1.497,0,1,
8,2026-03-30 00:41:13,Q-Learning,U-maze,152,1.601,0,1,
9,2026-03-30 00:41:14,Q-Learning,U-maze,112,1.223,0,1,
10,2026-03-30 00:41:16,Q-Learning,U-maze,104,1.212,0,1,
11,2026-03-30 00:41:17,Q-Learning,U-maze,129,1.203,0,1,
12,2026-03-30 00:41:18,Q-Learning,U-maze,113,1.201,0,1,
13,2026-03-30 00:41:19,Q-Learning,U-maze,131,1.171,0,1,
14,2026-03-30 00:41:20,Q-Learning,U-maze,146,1.181,0,1,
15,2026-03-30 00:41:22,Q-Learning,U-maze,145,1.211,0,1,
16,2026-03-30 00:41:23,Q-Learning,U-maze,136,1.182,0,1,
17,2026-03-30 00:41:24,Q-Learning,U-maze,128,1.232,0,1,
18,2026-03-30 00:41:25,Q-Learning,U-maze,134,1.182,0,1,
19,2026-03-30 00:41:26,Q-Learning,U-maze,136,1.189,0,1,
20,2026-03-30 00:41:28,Q-Learning,U-maze,116,1.179,0,1,
21,2026-03-30 00:41:29,Q-Learning,U-maze,127,1.162,0,1,
22,2026-03-30 00:41:30,Q-Learning,U-maze,97,1.183,0,1,
23,2026-03-30 00:41:31,Q-Learning,U-maze,147,1.2,0,1,
24,2026-03-30 00:41:32,Q-Learning,U-maze,114,1.184,0,1,
25,2026-03-30 00:41:33,Q-Learning,U-maze,122,1.183,0,1,
26,2026-03-30 00:41:35,Q-Learning,U-maze,132,1.219,0,1,
27,2026-03-30 00:41:36,Q-Learning,U-maze,104,1.15,0,1,
28,2026-03-30 00:41:37,Q-Learning,U-maze,123,1.21,0,1,
29,2026-03-30 00:41:38,Q-Learning,U-maze,121,1.171,0,1,
30,2026-03-30 00:41:39,Q-Learning,U-maze,116,1.183,0,1,
31,2026-03-30 00:41:41,Q-Learning,U-maze,118,1.197,0,1,
32,2026-03-30 00:41:42,Q-Learning,U-maze,130,1.213,0,1,
33,2026-03-30 00:41:43,Q-Learning,U-maze,138,1.19,0,1,
