trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-03-30 00:18:19,Q-Learning,U-maze,139,1.372,0,1,
2,2026-03-30 00:18:20,Q-Learning,U-maze,165,1.332,0,1,
3,2026-03-30 00:18:22,Q-Learning,U-maze,147,1.333,0,1,
4,2026-03-30 00:18:23,Q-Learning,U-maze,131,1.334,0,1,
5,2026-03-30 00:18:24,Q-Learning,U-maze,128,1.345,0,1,
6,2026-03-30 00:18:26,Q-Learning,U-maze,130,1.334,0,1,
7,2026-03-30 00:18:27,Q-Learning,U-maze,118,1.249,0,1,
8,2026-03-30 00:18:28,Q-Learning,U-maze,140,1.232,0,1,
9,2026-03-30 00:18:29,Q-Learning,U-maze,133,1.241,0,1,
10,2026-03-30 00:18:31,Q-Learning,U-maze,165,1.242,0,1,
11,2026-03-30 00:18:32,Q-Learning,U-maze,123,1.234,0,1,
12,2026-03-30 00:18:33,Q-Learning,U-maze,112,1.217,0,1,
13,2026-03-30 00:18:34,Q-Learning,U-maze,119,1.251,0,1,
14,2026-03-30 00:18:36,Q-Learning,U-maze,140,1.249,0,1,
15,2026-03-30 00:18:37,Q-Learning,U-maze,109,1.25,0,1,
16,2026-03-30 00:18:38,Q-Learning,U-maze,109,1.2,0,1,
17,2026-03-30 00:18:39,Q-Learning,U-maze,131,1.233,0,1,
18,2026-03-30 00:18:41,Q-Learning,U-maze,121,1.218,0,1,
19,2026-03-30 00:18:42,Q-Learning,U-maze,122,1.234,0,1,
20,2026-03-30 00:18:43,Q-Learning,U-maze,136,1.264,0,1,
21,2026-03-30 00:18:44,Q-Learning,U-maze,125,1.267,0,1,
22,2026-03-30 00:18:46,Q-Learning,U-maze,130,1.251,0,1,
23,2026-03-30 00:18:47,Q-Learning,U-maze,112,1.216,0,1,
24,2026-03-30 00:18:48,Q-Learning,U-maze,128,1.235,0,1,
25,2026-03-30 00:18:49,Q-Learning,U-maze,108,1.225,0,1,
26,2026-03-30 00:18:50,Q-Learning,U-maze,108,1.219,0,1,
27,2026-03-30 00:18:52,Q-Learning,U-maze,113,1.24,0,1,
28,2026-03-30 00:18:53,Q-Learning,U-maze,116,1.225,0,1,
29,2026-03-30 00:18:54,Q-Learning,U-maze,126,1.247,0,1,
30,2026-03-30 00:18:55,Q-Learning,U-maze,97,1.228,0,1,
31,2026-03-30 00:18:57,Q-Learning,U-maze,137,1.353,0,1,
32,2026-03-30 00:18:58,Q-Learning,U-maze,104,1.264,0,1,
33,2026-03-30 00:18:59,Q-Learning,U-maze,101,1.084,1,0,
34,2026-03-30 00:19:00,Q-Learning,U-maze,101,1.25,0,1,
35,2026-03-30 00:19:02,Q-Learning,U-maze,110,1.246,0,1,
36,2026-03-30 00:19:03,Q-Learning,U-maze,102,1.217,0,1,
37,2026-03-30 00:19:04,Q-Learning,U-maze,121,1.284,0,1,
38,2026-03-30 00:19:05,Q-Learning,U-maze,122,1.236,0,1,
39,2026-03-30 00:19:07,Q-Learning,U-maze,101,1.295,0,1,
40,2026-03-30 00:19:08,Q-Learning,U-maze,128,1.197,0,1,
41,2026-03-30 00:19:09,Q-Learning,U-maze,115,1.251,0,1,
42,2026-03-30 00:19:10,Q-Learning,U-maze,113,1.199,0,1,
43,2026-03-30 00:19:11,Q-Learning,U-maze,124,1.217,0,1,
44,2026-03-30 00:19:13,Q-Learning,U-maze,97,1.229,0,1,
45,2026-03-30 00:19:14,Q-Learning,U-maze,143,1.255,0,1,
46,2026-03-30 00:19:15,Q-Learning,U-maze,160,1.229,0,1,
47,2026-03-30 00:19:16,Q-Learning,U-maze,121,1.228,0,1,
48,2026-03-30 00:19:18,Q-Learning,U-maze,104,1.219,0,1,
49,2026-03-30 00:19:19,Q-Learning,U-maze,124,1.213,0,1,
50,2026-03-30 00:19:20,Q-Learning,U-maze,115,1.232,0,1,
51,2026-03-30 00:19:21,Q-Learning,U-maze,112,1.222,0,1,
52,2026-03-30 00:19:23,Q-Learning,U-maze,114,1.224,0,1,
53,2026-03-30 00:19:24,Q-Learning,U-maze,125,1.227,0,1,
54,2026-03-30 00:19:25,Q-Learning,U-maze,115,1.257,0,1,
55,2026-03-30 00:19:26,Q-Learning,U-maze,100,1.208,0,1,
56,2026-03-30 00:19:27,Q-Learning,U-maze,106,1.212,0,1,
57,2026-03-30 00:19:29,Q-Learning,U-maze,124,1.242,0,1,
58,2026-03-30 00:19:30,Q-Learning,U-maze,124,1.231,0,1,
59,2026-03-30 00:19:31,Q-Learning,U-maze,138,1.206,0,1,
60,2026-03-30 00:19:32,Q-Learning,U-maze,128,1.217,0,1,
61,2026-03-30 00:19:34,Q-Learning,U-maze,112,1.251,0,1,
62,2026-03-30 00:19:35,Q-Learning,U-maze,102,1.232,0,1,
63,2026-03-30 00:19:36,Q-Learning,U-maze,124,1.215,1,0,
64,2026-03-30 00:19:37,Q-Learning,U-maze,107,1.209,0,1,
65,2026-03-30 00:19:39,Q-Learning,U-maze,90,1.245,0,1,
66,2026-03-30 00:19:40,Q-Learning,U-maze,89,1.228,0,1,
67,2026-03-30 00:19:41,Q-Learning,U-maze,111,1.222,0,1,
68,2026-03-30 00:19:42,Q-Learning,U-maze,104,1.217,0,1,
69,2026-03-30 00:19:43,Q-Learning,U-maze,110,1.234,0,1,
70,2026-03-30 00:19:45,Q-Learning,U-maze,113,1.25,0,1,
71,2026-03-30 00:19:46,Q-Learning,U-maze,85,0.996,1,0,
