episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1130.169,139,0,1,500,0.9965,,1.372,
2,-1336.812,165,0,1,500,0.993,,1.332,
3,-1195.506,147,0,1,500,0.9895,,1.333,
4,-1068.392,131,0,1,500,0.9861,,1.334,
5,-1047.532,128,0,1,500,0.9826,,1.345,
6,-1033.578,130,0,1,500,0.9792,,1.334,
7,-961.583,118,0,1,500,0.9758,,1.249,
8,-1119.554,140,0,1,500,0.9723,,1.232,
9,-1083.221,133,0,1,500,0.9689,,1.241,
10,-1338.625,165,0,1,500,0.9655,,1.242,
11,-1001.306,123,0,1,500,0.9622,,1.234,
12,-892.187,112,0,1,500,0.9588,,1.217,
13,-953.811,119,0,1,500,0.9554,,1.251,
14,-1138.028,140,0,1,500,0.9521,,1.249,
15,-891.637,109,0,1,500,0.9488,,1.25,
16,-887.896,109,0,1,500,0.9454,,1.2,
17,-1066.678,131,0,1,500,0.9421,,1.233,
18,-985.995,121,0,1,500,0.9388,,1.218,
19,-967.569,122,0,1,500,0.9356,,1.234,
20,-1108.193,136,0,1,500,0.9323,,1.264,
21,-1019.069,125,0,1,500,0.929,,1.267,
22,-1054.643,130,0,1,500,0.9258,,1.251,
23,-913.199,112,0,1,500,0.9225,,1.216,
24,-1043.489,128,0,1,500,0.9193,,1.235,
25,-882.295,108,0,1,500,0.9161,,1.225,
26,-858.819,108,0,1,500,0.9129,,1.219,
27,-912.116,113,0,1,500,0.9097,,1.24,
28,-947.334,116,0,1,500,0.9065,,1.225,
29,-1026.698,126,0,1,500,0.9033,,1.247,
30,-794.49,97,0,1,500,0.9002,,1.228,
31,-1112.426,137,0,1,500,0.897,,1.353,
32,-852.309,104,0,1,500,0.8939,,1.264,
33,-278.99,101,1,0,428,0.8907,1.084,1.084,
34,-831.18,101,0,1,500,0.8876,,1.25,
35,-897.204,110,0,1,500,0.8845,,1.246,
36,-835.998,102,0,1,500,0.8814,,1.217,
37,-985.679,121,0,1,500,0.8783,,1.284,
38,-961.336,122,0,1,500,0.8753,,1.236,
39,-829.387,101,0,1,500,0.8722,,1.295,
40,-1040.923,128,0,1,500,0.8691,,1.197,
41,-937.629,115,0,1,500,0.8661,,1.251,
42,-921.719,113,0,1,500,0.8631,,1.199,
43,-1013.277,124,0,1,500,0.8601,,1.217,
44,-795.142,97,0,1,500,0.857,,1.229,
45,-1160.09,143,0,1,500,0.854,,1.255,
46,-1297.286,160,0,1,500,0.8511,,1.229,
47,-987.075,121,0,1,500,0.8481,,1.228,
48,-850.847,104,0,1,500,0.8451,,1.219,
49,-987.573,124,0,1,500,0.8421,,1.213,
50,-939.241,115,0,1,500,0.8392,,1.232,
51,-914.668,112,0,1,500,0.8363,,1.222,
52,-932.703,114,0,1,500,0.8333,,1.224,
53,-1017.476,125,0,1,500,0.8304,,1.227,
54,-937.627,115,0,1,500,0.8275,,1.257,
