episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-1073.492,133,0,1,500,,,1.187,
2,-1523.621,193,0,1,500,,,1.225,
3,-1169.491,147,0,1,500,,,1.008,
4,-2679.968,334,0,1,500,,,1.004,
5,-2506.088,312,0,1,500,,,1.019,
6,-1822.106,226,0,1,500,,,1.128,
7,-1813.873,226,0,1,500,,,1.101,
8,-622.615,78,0,1,500,,,1.044,
9,-755.674,93,0,1,500,,,1.013,
10,-949.465,118,0,1,500,,,1.007,
11,-855.95,109,0,1,500,,,1.04,
12,-731.607,90,0,1,500,,,0.97,
13,-1068.458,133,0,1,500,,,0.982,
14,-903.129,112,0,1,500,,,1.017,
15,-899.521,114,0,1,500,,,0.975,
16,-867.418,110,0,1,500,,,1.033,
17,-836.046,104,0,1,500,,,0.944,
18,-759.045,95,0,1,500,,,1.056,
19,-888.489,111,0,1,500,,,1.027,
20,-1163.279,147,0,1,500,,,1.022,
21,-1294.549,163,0,1,500,,,1.038,
22,-924.792,116,0,1,500,,,1.161,
23,-1233.002,152,0,1,500,,,1.053,
24,-2070.236,257,0,1,500,,,1.005,
25,-1556.51,193,0,1,500,,,1.135,
26,-2144.795,268,0,1,500,,,1.145,
27,-1622.225,201,0,1,500,,,1.044,
28,-2140.22,266,0,1,500,,,1.0,
29,-2013.111,250,0,1,500,,,1.155,
30,-1933.638,240,0,1,500,,,1.091,
31,-1814.09,225,0,1,500,,,1.145,
32,-1857.15,231,0,1,500,,,1.08,
33,-551.193,69,0,1,500,,,1.016,
34,-517.32,65,0,1,500,,,1.057,
35,-1262.937,157,0,1,500,,,1.08,
36,-581.797,72,0,1,500,,,1.036,
37,-783.293,98,0,1,500,,,1.246,
38,-859.924,107,0,1,500,,,1.164,
39,-695.97,87,0,1,500,,,1.052,
40,-896.02,114,0,1,500,,,1.264,
41,-728.786,93,0,1,500,,,1.046,
42,-797.328,101,0,1,500,,,1.067,
43,-634.684,78,0,1,500,,,1.174,
44,-741.717,91,0,1,500,,,1.252,
45,-778.769,97,0,1,500,,,1.284,
46,-773.692,98,0,1,500,,,1.579,
47,-863.423,109,0,1,500,,,1.319,
48,-930.569,117,0,1,500,,,1.077,
49,-727.358,89,0,1,500,,,1.23,
50,-712.439,88,0,1,500,,,1.115,
51,-863.644,110,0,1,500,,,1.125,
52,-612.768,75,0,1,500,,,1.207,
53,-881.172,109,0,1,500,,,1.225,
54,-806.014,100,0,1,500,,,1.298,
55,-1106.218,140,0,1,500,,,1.13,
56,-961.92,122,0,1,500,,,1.3,
57,-666.534,81,0,1,500,,,1.189,
58,-846.949,106,0,1,500,,,1.113,
59,-650.524,83,0,1,500,,,1.231,
60,-443.206,55,0,1,500,,,1.27,
61,-814.916,102,0,1,500,,,1.146,
62,-887.554,110,0,1,500,,,1.077,
63,-1082.338,137,0,1,500,,,1.274,
64,-1053.951,132,0,1,500,,,1.056,
65,-915.054,116,0,1,500,,,0.997,
66,-806.263,100,0,1,500,,,1.065,
67,-964.158,122,0,1,500,,,1.059,
68,-885.137,109,0,1,500,,,0.993,
69,-825.941,105,0,1,500,,,1.107,
70,-803.673,102,0,1,500,,,1.044,
71,-1061.364,133,0,1,500,,,1.031,
72,-585.156,72,0,1,500,,,0.992,
73,-1001.319,126,0,1,500,,,1.087,
74,-695.751,87,0,1,500,,,1.089,
75,-1009.514,124,0,1,500,,,1.035,
76,-786.955,97,0,1,500,,,1.04,
77,-1102.107,136,0,1,500,,,1.134,
78,-957.499,118,0,1,500,,,1.063,
79,-768.451,98,0,1,500,,,1.061,
80,-1124.126,140,0,1,500,,,1.085,
81,-619.766,77,0,1,500,,,1.025,
82,-1005.88,126,0,1,500,,,1.099,
83,-1193.001,148,0,1,500,,,1.025,
84,-848.511,108,0,1,500,,,1.071,
85,-916.863,114,0,1,500,,,1.079,
86,-601.04,74,0,1,500,,,1.057,
87,-725.887,91,0,1,500,,,1.032,
88,-881.362,110,0,1,500,,,1.098,
89,-574.226,71,0,1,500,,,1.005,
90,-1263.926,160,0,1,500,,,1.163,
91,-979.658,121,0,1,500,,,1.291,
92,-657.017,83,0,1,500,,,1.18,
93,-602.087,75,0,1,500,,,1.268,
94,-690.436,85,0,1,500,,,1.247,
95,-1572.174,197,0,1,500,,,1.297,
96,-1526.938,192,0,1,500,,,1.235,
97,-1126.767,143,0,1,500,,,1.18,
98,-1207.401,153,0,1,500,,,1.403,
99,-878.161,109,0,1,500,,,1.191,
100,-1558.541,196,0,1,500,,,1.253,
101,-883.238,112,0,1,500,,,1.338,
102,-883.823,111,0,1,500,,,1.277,
103,-842.641,106,0,1,500,,,1.228,
104,-862.106,106,0,1,500,,,1.327,
105,-845.913,107,0,1,500,,,1.154,
106,-824.08,102,0,1,500,,,1.153,
107,-850.235,108,0,1,500,,,1.291,
