trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-07 11:59:01,PPO,Z-maze,144,0.755,0,1,
2,2026-04-07 11:59:02,PPO,Z-maze,179,0.811,0,1,
3,2026-04-07 11:59:03,PPO,Z-maze,151,0.758,0,1,
4,2026-04-07 11:59:04,PPO,Z-maze,132,0.809,0,1,
5,2026-04-07 11:59:05,PPO,Z-maze,183,0.848,0,1,
6,2026-04-07 11:59:05,PPO,Z-maze,245,0.79,0,1,
7,2026-04-07 11:59:06,PPO,Z-maze,166,0.791,0,1,
8,2026-04-07 11:59:07,PPO,Z-maze,127,0.86,0,1,
9,2026-04-07 11:59:08,PPO,Z-maze,192,0.824,0,1,
10,2026-04-07 11:59:09,PPO,Z-maze,256,0.851,0,1,
11,2026-04-07 11:59:09,PPO,Z-maze,194,0.774,0,1,
12,2026-04-07 11:59:10,PPO,Z-maze,186,0.823,0,1,
13,2026-04-07 11:59:11,PPO,Z-maze,167,0.791,0,1,
14,2026-04-07 11:59:12,PPO,Z-maze,118,0.802,0,1,
15,2026-04-07 11:59:13,PPO,Z-maze,86,0.812,0,1,
16,2026-04-07 11:59:14,PPO,Z-maze,174,0.849,0,1,
17,2026-04-07 11:59:14,PPO,Z-maze,113,0.806,0,1,
18,2026-04-07 11:59:15,PPO,Z-maze,105,0.777,0,1,
19,2026-04-07 11:59:16,PPO,Z-maze,107,0.843,0,1,
20,2026-04-07 11:59:17,PPO,Z-maze,123,0.803,0,1,
21,2026-04-07 11:59:18,PPO,Z-maze,136,0.82,0,1,
22,2026-04-07 11:59:18,PPO,Z-maze,102,0.836,0,1,
23,2026-04-07 11:59:19,PPO,Z-maze,117,0.872,0,1,
24,2026-04-07 11:59:20,PPO,Z-maze,156,0.825,0,1,
25,2026-04-07 11:59:21,PPO,Z-maze,264,0.809,0,1,
26,2026-04-07 11:59:22,PPO,Z-maze,139,0.857,0,1,
27,2026-04-07 11:59:23,PPO,Z-maze,208,0.819,0,1,
28,2026-04-07 11:59:24,PPO,Z-maze,107,0.855,0,1,
29,2026-04-07 11:59:24,PPO,Z-maze,104,0.8,0,1,
30,2026-04-07 11:59:25,PPO,Z-maze,279,0.863,0,1,
31,2026-04-07 11:59:26,PPO,Z-maze,224,0.87,0,1,
32,2026-04-07 11:59:27,PPO,Z-maze,77,0.896,0,1,
33,2026-04-07 11:59:28,PPO,Z-maze,117,0.847,0,1,
34,2026-04-07 11:59:29,PPO,Z-maze,124,0.846,0,1,
35,2026-04-07 11:59:29,PPO,Z-maze,138,0.837,0,1,
36,2026-04-07 11:59:30,PPO,Z-maze,132,0.822,0,1,
37,2026-04-07 11:59:31,PPO,Z-maze,119,0.852,0,1,
38,2026-04-07 11:59:32,PPO,Z-maze,206,0.824,0,1,
39,2026-04-07 11:59:33,PPO,Z-maze,160,0.839,0,1,
40,2026-04-07 11:59:34,PPO,Z-maze,121,0.916,0,1,
41,2026-04-07 11:59:35,PPO,Z-maze,127,0.842,0,1,
42,2026-04-07 11:59:35,PPO,Z-maze,105,0.832,0,1,
43,2026-04-07 11:59:36,PPO,Z-maze,125,0.86,0,1,
44,2026-04-07 11:59:37,PPO,Z-maze,129,0.895,0,1,
45,2026-04-07 11:59:38,PPO,Z-maze,149,0.887,0,1,
46,2026-04-07 11:59:39,PPO,Z-maze,171,0.873,0,1,
47,2026-04-07 11:59:40,PPO,Z-maze,145,0.928,0,1,
48,2026-04-07 11:59:41,PPO,Z-maze,90,0.874,0,1,
49,2026-04-07 11:59:42,PPO,Z-maze,325,0.951,0,1,
50,2026-04-07 11:59:43,PPO,Z-maze,283,1.385,0,1,
51,2026-04-07 11:59:45,PPO,Z-maze,181,1.643,0,1,
52,2026-04-07 11:59:46,PPO,Z-maze,103,0.977,0,1,
53,2026-04-07 11:59:47,PPO,Z-maze,125,0.972,0,1,
54,2026-04-07 11:59:48,PPO,Z-maze,189,0.892,0,1,
55,2026-04-07 11:59:49,PPO,Z-maze,142,0.899,0,1,
56,2026-04-07 11:59:49,PPO,Z-maze,74,0.851,0,1,
57,2026-04-07 11:59:50,PPO,Z-maze,117,0.814,0,1,
58,2026-04-07 11:59:51,PPO,Z-maze,149,0.923,0,1,
59,2026-04-07 11:59:52,PPO,Z-maze,118,0.848,0,1,
60,2026-04-07 11:59:53,PPO,Z-maze,157,0.884,0,1,
61,2026-04-07 11:59:54,PPO,Z-maze,115,0.945,0,1,
62,2026-04-07 11:59:55,PPO,Z-maze,119,0.837,0,1,
63,2026-04-07 11:59:55,PPO,Z-maze,113,0.847,0,1,
64,2026-04-07 11:59:56,PPO,Z-maze,129,0.848,0,1,
65,2026-04-07 11:59:57,PPO,Z-maze,264,0.891,0,1,
66,2026-04-07 11:59:58,PPO,Z-maze,211,0.905,0,1,
67,2026-04-07 11:59:59,PPO,Z-maze,164,0.881,0,1,
68,2026-04-07 12:00:00,PPO,Z-maze,143,0.928,0,1,
69,2026-04-07 12:00:01,PPO,Z-maze,144,0.967,0,1,
70,2026-04-07 12:00:02,PPO,Z-maze,176,0.983,0,1,
71,2026-04-07 12:00:03,PPO,Z-maze,100,0.896,0,1,
