trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-07 10:58:55,PPO,Z-maze,133,1.187,0,1,
2,2026-04-07 10:58:57,PPO,Z-maze,193,1.225,0,1,
3,2026-04-07 10:58:58,PPO,Z-maze,147,1.008,0,1,
4,2026-04-07 10:58:59,PPO,Z-maze,334,1.004,0,1,
5,2026-04-07 10:59:00,PPO,Z-maze,312,1.019,0,1,
6,2026-04-07 10:59:01,PPO,Z-maze,226,1.128,0,1,
7,2026-04-07 10:59:02,PPO,Z-maze,226,1.101,0,1,
8,2026-04-07 10:59:03,PPO,Z-maze,78,1.044,0,1,
9,2026-04-07 10:59:04,PPO,Z-maze,93,1.013,0,1,
10,2026-04-07 10:59:05,PPO,Z-maze,118,1.007,0,1,
11,2026-04-07 10:59:06,PPO,Z-maze,109,1.04,0,1,
12,2026-04-07 10:59:07,PPO,Z-maze,90,0.97,0,1,
13,2026-04-07 10:59:08,PPO,Z-maze,133,0.982,0,1,
14,2026-04-07 10:59:09,PPO,Z-maze,112,1.017,0,1,
15,2026-04-07 10:59:10,PPO,Z-maze,114,0.975,0,1,
16,2026-04-07 10:59:11,PPO,Z-maze,110,1.033,0,1,
17,2026-04-07 10:59:12,PPO,Z-maze,104,0.944,0,1,
18,2026-04-07 10:59:13,PPO,Z-maze,95,1.056,0,1,
19,2026-04-07 10:59:14,PPO,Z-maze,111,1.027,0,1,
20,2026-04-07 10:59:15,PPO,Z-maze,147,1.022,0,1,
21,2026-04-07 10:59:16,PPO,Z-maze,163,1.038,0,1,
22,2026-04-07 10:59:17,PPO,Z-maze,116,1.161,0,1,
23,2026-04-07 10:59:18,PPO,Z-maze,152,1.053,0,1,
24,2026-04-07 10:59:19,PPO,Z-maze,257,1.005,0,1,
25,2026-04-07 10:59:20,PPO,Z-maze,193,1.135,0,1,
26,2026-04-07 10:59:22,PPO,Z-maze,268,1.145,0,1,
27,2026-04-07 10:59:23,PPO,Z-maze,201,1.044,0,1,
28,2026-04-07 10:59:24,PPO,Z-maze,266,1.0,0,1,
29,2026-04-07 10:59:25,PPO,Z-maze,250,1.155,0,1,
30,2026-04-07 10:59:26,PPO,Z-maze,240,1.091,0,1,
31,2026-04-07 10:59:27,PPO,Z-maze,225,1.145,0,1,
32,2026-04-07 10:59:28,PPO,Z-maze,231,1.08,0,1,
33,2026-04-07 10:59:29,PPO,Z-maze,69,1.016,0,1,
34,2026-04-07 10:59:30,PPO,Z-maze,65,1.057,0,1,
35,2026-04-07 10:59:31,PPO,Z-maze,157,1.08,0,1,
36,2026-04-07 10:59:32,PPO,Z-maze,72,1.036,0,1,
37,2026-04-07 10:59:34,PPO,Z-maze,98,1.246,0,1,
38,2026-04-07 10:59:35,PPO,Z-maze,107,1.164,0,1,
39,2026-04-07 10:59:36,PPO,Z-maze,87,1.052,0,1,
40,2026-04-07 10:59:37,PPO,Z-maze,114,1.264,0,1,
41,2026-04-07 10:59:38,PPO,Z-maze,93,1.046,0,1,
42,2026-04-07 10:59:39,PPO,Z-maze,101,1.067,0,1,
43,2026-04-07 10:59:40,PPO,Z-maze,78,1.174,0,1,
44,2026-04-07 10:59:42,PPO,Z-maze,91,1.252,0,1,
45,2026-04-07 10:59:43,PPO,Z-maze,97,1.284,0,1,
46,2026-04-07 10:59:45,PPO,Z-maze,98,1.579,0,1,
47,2026-04-07 10:59:46,PPO,Z-maze,109,1.319,0,1,
48,2026-04-07 10:59:47,PPO,Z-maze,117,1.077,0,1,
49,2026-04-07 10:59:48,PPO,Z-maze,89,1.23,0,1,
50,2026-04-07 10:59:49,PPO,Z-maze,88,1.115,0,1,
51,2026-04-07 10:59:50,PPO,Z-maze,110,1.125,0,1,
52,2026-04-07 10:59:52,PPO,Z-maze,75,1.207,0,1,
53,2026-04-07 10:59:53,PPO,Z-maze,109,1.225,0,1,
54,2026-04-07 10:59:54,PPO,Z-maze,100,1.298,0,1,
55,2026-04-07 10:59:55,PPO,Z-maze,140,1.13,0,1,
56,2026-04-07 10:59:57,PPO,Z-maze,122,1.3,0,1,
57,2026-04-07 10:59:58,PPO,Z-maze,81,1.189,0,1,
58,2026-04-07 10:59:59,PPO,Z-maze,106,1.113,0,1,
59,2026-04-07 11:00:00,PPO,Z-maze,83,1.231,0,1,
60,2026-04-07 11:00:01,PPO,Z-maze,55,1.27,0,1,
61,2026-04-07 11:00:03,PPO,Z-maze,102,1.146,0,1,
62,2026-04-07 11:00:04,PPO,Z-maze,110,1.077,0,1,
63,2026-04-07 11:00:05,PPO,Z-maze,137,1.274,0,1,
64,2026-04-07 11:00:06,PPO,Z-maze,132,1.056,0,1,
65,2026-04-07 11:00:07,PPO,Z-maze,116,0.997,0,1,
66,2026-04-07 11:00:08,PPO,Z-maze,100,1.065,0,1,
67,2026-04-07 11:00:09,PPO,Z-maze,122,1.059,0,1,
68,2026-04-07 11:00:10,PPO,Z-maze,109,0.993,0,1,
69,2026-04-07 11:00:11,PPO,Z-maze,105,1.107,0,1,
70,2026-04-07 11:00:12,PPO,Z-maze,102,1.044,0,1,
71,2026-04-07 11:00:13,PPO,Z-maze,133,1.031,0,1,
72,2026-04-07 11:00:14,PPO,Z-maze,72,0.992,0,1,
73,2026-04-07 11:00:15,PPO,Z-maze,126,1.087,0,1,
74,2026-04-07 11:00:17,PPO,Z-maze,87,1.089,0,1,
75,2026-04-07 11:00:18,PPO,Z-maze,124,1.035,0,1,
76,2026-04-07 11:00:19,PPO,Z-maze,97,1.04,0,1,
77,2026-04-07 11:00:20,PPO,Z-maze,136,1.134,0,1,
