trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-06 18:18:52,PPO,Z-maze,127,2.585,0,1,
2,2026-04-06 18:18:55,PPO,Z-maze,130,2.649,0,1,
3,2026-04-06 18:18:57,PPO,Z-maze,161,2.337,0,1,
4,2026-04-06 18:19:00,PPO,Z-maze,133,2.745,0,1,
5,2026-04-06 18:19:03,PPO,Z-maze,115,2.804,0,1,
6,2026-04-06 18:19:05,PPO,Z-maze,148,2.442,0,1,
7,2026-04-06 18:19:08,PPO,Z-maze,152,2.59,0,1,
8,2026-04-06 18:19:10,PPO,Z-maze,89,2.787,0,1,
9,2026-04-06 18:19:13,PPO,Z-maze,190,2.737,0,1,
10,2026-04-06 18:19:16,PPO,Z-maze,235,2.865,0,1,
11,2026-04-06 18:19:19,PPO,Z-maze,105,2.746,0,1,
12,2026-04-06 18:19:22,PPO,Z-maze,78,2.907,0,1,
13,2026-04-06 18:19:25,PPO,Z-maze,104,2.89,0,1,
14,2026-04-06 18:19:27,PPO,Z-maze,99,2.568,0,1,
15,2026-04-06 18:19:30,PPO,Z-maze,63,2.366,0,1,
16,2026-04-06 18:19:32,PPO,Z-maze,120,2.781,0,1,
17,2026-04-06 18:19:35,PPO,Z-maze,122,2.76,0,1,
18,2026-04-06 18:19:38,PPO,Z-maze,97,2.845,0,1,
19,2026-04-06 18:19:41,PPO,Z-maze,150,2.777,0,1,
20,2026-04-06 18:19:44,PPO,Z-maze,151,2.861,0,1,
21,2026-04-06 18:19:46,PPO,Z-maze,204,2.892,0,1,
22,2026-04-06 18:19:49,PPO,Z-maze,326,2.708,0,1,
23,2026-04-06 18:19:52,PPO,Z-maze,356,2.874,0,1,
24,2026-04-06 18:19:55,PPO,Z-maze,309,2.842,0,1,
25,2026-04-06 18:19:58,PPO,Z-maze,315,2.864,0,1,
26,2026-04-06 18:20:01,PPO,Z-maze,237,2.758,0,1,
27,2026-04-06 18:20:03,PPO,Z-maze,182,2.818,0,1,
28,2026-04-06 18:20:06,PPO,Z-maze,86,2.776,0,1,
29,2026-04-06 18:20:09,PPO,Z-maze,190,2.758,0,1,
30,2026-04-06 18:20:12,PPO,Z-maze,320,2.806,0,1,
31,2026-04-06 18:20:14,PPO,Z-maze,153,2.56,0,1,
32,2026-04-06 18:20:17,PPO,Z-maze,133,2.799,0,1,
33,2026-04-06 18:20:20,PPO,Z-maze,86,2.742,0,1,
34,2026-04-06 18:20:22,PPO,Z-maze,93,2.454,1,0,
35,2026-04-06 18:20:25,PPO,Z-maze,116,2.71,0,1,
36,2026-04-06 18:20:27,PPO,Z-maze,86,2.073,0,1,
37,2026-04-06 18:20:30,PPO,Z-maze,82,2.496,0,1,
38,2026-04-06 18:20:32,PPO,Z-maze,136,2.812,0,1,
39,2026-04-06 18:20:35,PPO,Z-maze,146,2.848,0,1,
40,2026-04-06 18:20:38,PPO,Z-maze,122,2.812,0,1,
41,2026-04-06 18:20:41,PPO,Z-maze,196,2.821,0,1,
42,2026-04-06 18:20:43,PPO,Z-maze,101,2.285,1,0,
43,2026-04-06 18:20:46,PPO,Z-maze,110,2.784,0,1,
44,2026-04-06 18:20:49,PPO,Z-maze,139,2.815,0,1,
45,2026-04-06 18:20:52,PPO,Z-maze,149,2.818,0,1,
46,2026-04-06 18:20:55,PPO,Z-maze,264,2.84,0,1,
47,2026-04-06 18:20:57,PPO,Z-maze,92,2.74,0,1,
48,2026-04-06 18:21:00,PPO,Z-maze,130,2.772,0,1,
49,2026-04-06 18:21:03,PPO,Z-maze,108,2.758,0,1,
50,2026-04-06 18:21:06,PPO,Z-maze,249,2.777,0,1,
51,2026-04-06 18:21:08,PPO,Z-maze,189,2.778,0,1,
52,2026-04-06 18:21:11,PPO,Z-maze,96,2.586,0,1,
53,2026-04-06 18:21:14,PPO,Z-maze,148,2.75,0,1,
54,2026-04-06 18:21:17,PPO,Z-maze,160,2.728,0,1,
55,2026-04-06 18:21:19,PPO,Z-maze,131,2.803,0,1,
56,2026-04-06 18:21:22,PPO,Z-maze,61,2.616,0,1,
57,2026-04-06 18:21:25,PPO,Z-maze,119,2.696,0,1,
58,2026-04-06 18:21:27,PPO,Z-maze,102,2.69,0,1,
59,2026-04-06 18:21:30,PPO,Z-maze,144,2.657,0,1,
60,2026-04-06 18:21:33,PPO,Z-maze,74,2.709,0,1,
61,2026-04-06 18:21:35,PPO,Z-maze,112,2.697,0,1,
62,2026-04-06 18:21:38,PPO,Z-maze,125,2.708,0,1,
63,2026-04-06 18:21:41,PPO,Z-maze,110,2.747,0,1,
64,2026-04-06 18:21:44,PPO,Z-maze,105,2.791,0,1,
65,2026-04-06 18:21:47,PPO,Z-maze,100,2.808,0,1,
66,2026-04-06 18:21:49,PPO,Z-maze,81,2.78,0,1,
67,2026-04-06 18:21:52,PPO,Z-maze,72,2.821,0,1,
68,2026-04-06 18:21:55,PPO,Z-maze,96,2.819,0,1,
69,2026-04-06 18:21:58,PPO,Z-maze,76,2.693,0,1,
70,2026-04-06 18:22:01,PPO,Z-maze,100,2.849,0,1,
71,2026-04-06 18:22:03,PPO,Z-maze,180,2.822,0,1,
72,2026-04-06 18:22:06,PPO,Z-maze,262,2.736,0,1,
73,2026-04-06 18:22:09,PPO,Z-maze,98,2.817,0,1,
74,2026-04-06 18:22:11,PPO,Z-maze,146,2.473,0,1,
75,2026-04-06 18:22:14,PPO,Z-maze,105,2.222,0,1,
76,2026-04-06 18:22:16,PPO,Z-maze,129,2.758,0,1,
77,2026-04-06 18:22:19,PPO,Z-maze,96,2.668,0,1,
78,2026-04-06 18:22:22,PPO,Z-maze,206,2.776,0,1,
79,2026-04-06 18:22:25,PPO,Z-maze,223,2.86,0,1,
80,2026-04-06 18:22:28,PPO,Z-maze,102,2.784,0,1,
81,2026-04-06 18:22:30,PPO,Z-maze,140,2.611,0,1,
