trial,timestamp,algorithm,maze,collisions,completion_time_s,goal_reached,timeout,notes
1,2026-04-06 13:00:27,PPO,Z-maze,103,2.622,0,1,
2,2026-04-06 13:00:30,PPO,Z-maze,133,2.493,0,1,
3,2026-04-06 13:00:32,PPO,Z-maze,283,2.344,0,1,
4,2026-04-06 13:00:35,PPO,Z-maze,318,2.687,0,1,
5,2026-04-06 13:00:38,PPO,Z-maze,197,2.615,0,1,
6,2026-04-06 13:00:40,PPO,Z-maze,390,2.539,0,1,
7,2026-04-06 13:00:43,PPO,Z-maze,330,2.576,0,1,
8,2026-04-06 13:00:45,PPO,Z-maze,219,2.354,0,1,
9,2026-04-06 13:00:48,PPO,Z-maze,182,2.526,0,1,
10,2026-04-06 13:00:50,PPO,Z-maze,150,2.543,0,1,
11,2026-04-06 13:00:52,PPO,Z-maze,156,2.298,0,1,
12,2026-04-06 13:00:55,PPO,Z-maze,308,2.568,0,1,
13,2026-04-06 13:00:58,PPO,Z-maze,142,2.488,0,1,
14,2026-04-06 13:00:59,PPO,Z-maze,147,1.76,0,1,
15,2026-04-06 13:01:02,PPO,Z-maze,209,2.588,0,1,
16,2026-04-06 13:01:05,PPO,Z-maze,116,2.773,0,1,
17,2026-04-06 13:01:07,PPO,Z-maze,185,2.066,0,1,
18,2026-04-06 13:01:08,PPO,Z-maze,183,1.714,0,1,
19,2026-04-06 13:01:10,PPO,Z-maze,99,1.983,0,1,
20,2026-04-06 13:01:13,PPO,Z-maze,89,2.575,0,1,
21,2026-04-06 13:01:16,PPO,Z-maze,150,2.587,0,1,
22,2026-04-06 13:01:18,PPO,Z-maze,103,2.635,0,1,
23,2026-04-06 13:01:21,PPO,Z-maze,110,2.26,0,1,
24,2026-04-06 13:01:23,PPO,Z-maze,120,2.28,0,1,
25,2026-04-06 13:01:25,PPO,Z-maze,107,2.489,0,1,
26,2026-04-06 13:01:28,PPO,Z-maze,125,2.744,0,1,
27,2026-04-06 13:01:30,PPO,Z-maze,132,2.22,0,1,
28,2026-04-06 13:01:33,PPO,Z-maze,71,2.295,0,1,
29,2026-04-06 13:01:35,PPO,Z-maze,69,2.548,0,1,
30,2026-04-06 13:01:37,PPO,Z-maze,94,2.211,0,1,
31,2026-04-06 13:01:40,PPO,Z-maze,120,2.41,0,1,
32,2026-04-06 13:01:42,PPO,Z-maze,228,2.238,0,1,
33,2026-04-06 13:01:45,PPO,Z-maze,115,2.655,0,1,
34,2026-04-06 13:01:48,PPO,Z-maze,117,3.02,0,1,
35,2026-04-06 13:01:50,PPO,Z-maze,193,2.641,0,1,
36,2026-04-06 13:01:53,PPO,Z-maze,153,2.943,0,1,
37,2026-04-06 13:01:56,PPO,Z-maze,219,2.872,0,1,
38,2026-04-06 13:01:59,PPO,Z-maze,144,2.642,0,1,
