episode,ep_reward,collisions,success,timeout,steps,epsilon,completion_time_s,elapsed_s,episodes_to_converge
1,-653.387,81,0,1,500,,,0.866,
2,-1421.496,176,0,1,500,,,0.8,
3,-1730.554,219,0,1,500,,,0.766,
4,-1581.473,198,0,1,500,,,0.783,
5,-923.836,117,0,1,500,,,1.016,
6,-1582.095,197,0,1,500,,,0.85,
7,-786.644,98,0,1,500,,,0.966,
8,-994.09,123,0,1,500,,,0.766,
9,-1147.134,142,0,1,500,,,0.753,
10,-684.726,87,0,1,500,,,0.935,
11,-1633.257,202,0,1,500,,,0.801,
12,-1195.913,150,0,1,500,,,0.783,
13,-922.866,114,0,1,500,,,0.817,
14,-1446.385,181,0,1,500,,,0.783,
15,-1321.324,167,0,1,500,,,0.867,
16,-962.501,121,0,1,500,,,0.906,
17,-1097.805,138,0,1,500,,,0.857,
18,-865.068,107,0,1,500,,,0.95,
19,-915.616,114,0,1,500,,,0.903,
20,-867.661,107,0,1,500,,,0.826,
21,-1129.422,142,0,1,500,,,0.919,
22,-1064.854,133,0,1,500,,,0.84,
23,-1282.741,162,0,1,500,,,0.867,
24,-1810.122,225,0,1,500,,,0.833,
25,-1893.913,235,0,1,500,,,0.967,
26,-1703.686,211,0,1,500,,,0.8,
27,-1535.353,190,0,1,500,,,0.767,
28,-971.01,123,0,1,500,,,0.95,
29,-975.747,123,0,1,500,,,0.879,
30,-2067.858,257,0,1,500,,,0.884,
31,-1358.74,168,0,1,500,,,0.833,
32,-1927.371,239,0,1,500,,,0.901,
33,-2443.0,304,0,1,500,,,0.835,
34,-1769.758,220,0,1,500,,,0.866,
35,-1280.401,161,0,1,500,,,0.8,
36,-1340.643,170,0,1,500,,,0.867,
37,-898.735,111,0,1,500,,,0.9,
38,-1009.238,127,0,1,500,,,0.833,
39,-1373.103,170,0,1,500,,,0.834,
40,-1052.399,133,0,1,500,,,0.816,
41,-1070.02,135,0,1,500,,,0.816,
42,-1066.004,134,0,1,500,,,0.9,
43,-684.04,87,0,1,500,,,0.801,
44,-975.684,122,0,1,500,,,0.818,
45,-1029.025,127,0,1,500,,,0.915,
46,-522.842,65,0,1,500,,,0.8,
47,-928.022,116,0,1,500,,,0.916,
48,-797.434,100,0,1,500,,,0.967,
49,-1145.28,142,0,1,500,,,0.84,
50,-852.541,104,0,1,500,,,0.876,
51,-685.065,85,0,1,500,,,0.867,
52,-652.739,82,0,1,500,,,0.816,
53,-868.363,110,0,1,500,,,0.833,
54,-987.063,125,0,1,500,,,0.8,
55,-667.639,82,0,1,500,,,0.917,
56,-732.051,92,0,1,500,,,0.866,
57,-808.281,103,0,1,500,,,0.921,
58,-1065.82,132,0,1,500,,,1.0,
59,-1066.111,134,0,1,500,,,1.132,
60,-1542.682,194,0,1,500,,,0.964,
61,-1047.865,130,0,1,500,,,0.85,
62,-998.367,126,0,1,500,,,0.883,
63,-936.799,118,0,1,500,,,0.867,
64,-827.499,104,0,1,500,,,0.916,
65,-685.094,85,0,1,500,,,0.818,
66,-492.901,60,0,1,500,,,0.948,
67,-655.015,82,0,1,500,,,0.833,
68,-653.218,83,0,1,500,,,0.983,
69,-795.061,100,0,1,500,,,0.866,
70,-914.969,116,0,1,500,,,1.399,
71,-1024.215,127,0,1,500,,,0.85,
72,-722.598,92,0,1,500,,,0.967,
73,-949.428,117,0,1,500,,,0.973,
74,-609.639,78,0,1,500,,,0.959,
75,-1192.353,151,0,1,500,,,1.006,
76,-901.62,112,0,1,500,,,0.935,
77,-516.901,65,0,1,500,,,0.919,
78,-883.942,109,0,1,500,,,0.983,
79,-1758.142,220,0,1,500,,,1.067,
80,-753.162,92,0,1,500,,,0.901,
81,-1406.797,174,0,1,500,,,1.33,
82,-1161.163,146,0,1,500,,,1.672,
83,-917.861,116,0,1,500,,,1.219,
84,-837.058,103,0,1,500,,,1.177,
85,-953.748,118,0,1,500,,,1.277,
86,-685.598,84,0,1,500,,,1.24,
87,-570.419,73,0,1,500,,,1.108,
88,-745.345,94,0,1,500,,,1.197,
89,-908.197,112,0,1,500,,,1.17,
90,-1050.233,131,0,1,500,,,1.119,
91,-1053.761,132,0,1,500,,,1.137,
92,-724.973,92,0,1,500,,,1.162,
93,-596.884,74,0,1,500,,,1.294,
94,-975.722,124,0,1,500,,,1.177,
95,-816.717,102,0,1,500,,,1.126,
96,-1481.393,183,0,1,500,,,1.017,
97,-957.265,118,0,1,500,,,1.16,
98,-691.847,86,0,1,500,,,1.176,
99,-616.256,77,0,1,500,,,1.18,
